"id","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent"
"39","Oxford Human Rights Festival","c/o School of Architecture","Oxford Brookes University","Headington Campus","Oxford","OX3 0BP","","OxHRF@brookes.ac.uk","","www.oxfordhumanrightsfestival.net","facebook.com/oxfordhumanrightsfestival","@OxHRF","No","","No","","No","","No","","No","","No","","No","","Angela Hatherell","ahatherell@brookes.ac.uk   07703151851","The Oxford Human Rights Festival was started as a film festival in 2001 by Oxford Brookes students on the MA Development and Emergency Practice course. The aim of the festival is to raise awareness of human rights issues through the arts. It is now curated by students from across the university and the annual programme includes film and documentary screenings, lectures, workshops, exhibitions, and performances. All events take place at Oxford Brookes University, are free and open to everyone; students, staff and the wider Oxford community. ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Arts, Media, Culture & Leisure","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Partner of the International Human Rights Arts Festival in New York. https://ihraf.org/partners We also took part in this year's Oxford International Women's Festival.","Yes"
"44","Oxford City Council Co-operatives Champion","Oxford Town Hall","St Aldate’s","","Oxford","OX1 1BX","","Cllrrhowlett@oxford.gov.uk ","","","https://www.facebook.com/richardforcarfax/","","No","","No","","No","","No","","No","","No","","No","","Cllr Richard Howlett","07960 465594","Oxford City Council appointed Cllr Richard Howlett to act as its Co-operatives Champion in January 2019. The ‘champion’ role is a way for non-executive cllrs to represent the council on areas about which they are passionate. Richard Howlett has worked in co-ops in the city for the past decade and is committed to the growth of the local co-op economy. He convened an ‘advisory group’ of local co-operators who sit around the role to give advice and support and to whom he is accountable.  ","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","No","No","No","No","No","No","No","No","","Yes"
"47","Common Ground Café & Workspace","37-38 Little Clarendon Street","","","Oxford","OX1 2HF","","jake@littlec.co.uk","","https://www.commongroundstudy.space/","https://www.facebook.com/CommonGroundWorkspace/","","Yes","08:00-18:00","Yes","08:00-18:00","Yes","08:00-18:00","Yes","08:00-18:00","Yes","08:00-18:00","Yes","08:30-17:00","No","","Jake Backus","jake@littleC.co.uk","Common Ground is a social enterprise pop-up café and workspace where people can stay as long as they like.  (Free wifi and power, but buy something to keep us afloat.)  
Our social purpose is to support student mental health by providing a relatively quiet space where people can come and just “be” on their own terms.  Less lonely than your room and more connected with society than the college library.  We have time to be friendly and welcoming.  
However, we “create community” and have morphed into a social space for this part of Jericho.
We host many different events in the evenings and for groups looking for somewhere to meet and have yoga twice a day too.
Everything is as sustainable as possible and is second hand, upcycled, made or donated.   
","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Community & Collective Spaces","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","We support groups with similar goals or aims, including social enterprise start-ups, repair café, student minds, etc. ","Yes"
"48","Wolvercote Sunday Market","The White Hart","126 Godstow Road","Wolvercote","Oxford","OX2 8PQ","","wolvercotesundaymarket@gmail.com","","","https://www.facebook.com/pages/category/Farmers-Market/Wolvercote-Sunday-Market-159418914693296/","","No","","No","","No","","No","","No","","No","","Yes","10 a.m. till 1 p.m.","Matthew Simpson","wolvercotesundaymarket@gmail.com","This is a small weekly market run by volunteers and held in a community-run pub. It offers local organic eggs, a range of organic vegetables and fruits (from local sources whenever possible), sourdough breads and cakes made from organic flour, plus (visiting the market at various intervals from fortnightly to monthly) other local products like jams, Italian and Greek foods, cured meats, knitted clothing, plants, etc., plus services such as the local councillors' surgery. The pub provides Sunday breakfast, teas and coffees, meanwhile.","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Food","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","","Yes"
"49","Rose Hill Carpet Bowls and New Age Curling ","Rose Hill Community Centre ","Carole’s Way","Rose Hill","Oxford","OX4 4HF","","","","https://www.meetup.com/Rose-Hill-Carpet-Bowls-and-New-Age-Curling/","","","No","","No","","No","","Yes","2-3pm","No","","No","","No","","Graham West","grahamvwest@gmail.com","Welcome to Rose Hill Carpet Bowls And New Age Curling. This meetup group is for those interested in carpet bowls and / or new age curling and would like to try out a new sport.","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Arts, Media, Culture & Leisure","No","No","No","No","No","No","No","Yes","No","No","No","No","","Yes"
"51","Communi-tea cafe","1 Cuddesdon Way","Blackbird Leys","","Oxford","OX4 6JH","","community@holyfamilybbl.co.uk","01865396241","http://www.holyfamilybbl.co.uk/","@holyfamilybbl","","Yes","9.30am - 2.30pm","Yes","9.30am - 2.30pm","Yes","9.30am - 2.30pm","Yes","9.30am - 2.30pm","Yes","9.30am - 2.30pm","No","","No","","Sasha East","community@holyfamilybbl.co.uk","A friendly community cafe in Blackbird Leys serving breakfasts and tasty Caribbean food.","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","","Yes"
"52","Communi-tea Cafe","1 Cuddesdon Way","Blackbird Leys","","Oxford","OX4 6JH","","holyfamilybbl@gmail.com","01865778728","","communi-tea Cafe","","Yes","9am-2.30pm","Yes","9am-2.30pm","Yes","9am-2.30pm","Yes","9am-2.30pm","Yes","9am-2.30pm","No","","No","","Heather","holyfamilybbl@gmail.com","Community Cafe in the centre of Blackbird Leys. Predominantly Caribbean food with some alternatives. Affordable Main meals, coffee and cakes, snacks.","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Food","No","No","No","No","No","No","No","No","No","No","No","No","","Yes"
"53","Allsorts Rose Hill","Rose Hill Methodist Church","34 Singletree","Rose Hill","Oxford","OX44JS","","","","N/A","","","No","","No","","No","","Yes","12:30-2:30","No","","No","","No","","Anna Missa","ajmissa@gmail.com","Stay-and-play run by volunteers to support families with children under 5.","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Health, Social Care & Wellbeing","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes"
"59","Campaign for Real Farming and Food Culture","","","","","","no physical address - but I'm based in Wolvercote. So will OX2 do?","ruth@feanetwork.org","44 1865 318997","www.campaignforrealfarming.org","","#realfarming","Yes","all reasonable god given hours most days (though not after 6.00pm as a whole)","Yes","","Yes","","Yes","","Yes","","No","","No","","Ruth","44 1865 318997","The campaign exists to help create ""convivial societies within a flourishing biosphere"" by bringing about an agrarian renaissance based on the principals and practices of ""Real Farming"".  Real farming is defined as “Farming that is expressly designed to provide everyone everywhere with food of the highest quality, forever, without wrecking the rest of the world”. 
The campaign seeks to bring about the necessary changes along  four pathways: farm practice based on agroecology; the introduction of food sovereignty whereby individuals and communities have charge of their own food supply; economic democracy - essentially a tripartite mixed economy, with cooperation and social enterprise key drivers; and respect for traditional knowledge including attitudes towards ownership of land.","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Food","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Loads!  eg Sustain the Alliance for Sustainable Food and Farming; the Pasture Fed Livestock Association, UK Food Group, the Landworkers' Alliance, the European Network for Access to Land, Land Justice. . . ","Yes"
"60","Oxford SU Women’s Campaign","Oxford SU","","","Oxford","OX1","","womcam@oxfordsu.ox.ac.uk","","https://www.oxfordsu.org/campaigns/WomCam/","Oxford SU Women’s Campaign","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Danielle Twiss","danielle.twiss@spc.ox.ac.uk","The women’s campaign is for all women (trans, cis, and intersex) and non-binary people, including those with complex gender identities who associate in some way with the term woman, as well as those who feel they experience structural misogyny. We organize a range of events from feminist discussion groups and panels to working on lobbying the university and collaborating on demonstrations. All our events are very welcoming and there’s no level of experience or knowledge required or expected to attend. We also hold regular open meetings where women and non-binary students are very welcome. These are a great opportunity for anyone outside our committee to bring ideas and suggestions to us. Our facebook page is the best place to keep up with what we’re doing, to get involved with our events, and to contact us with any inquiries or suggestions.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","We are a part of the Oxford SU campaigns, which include WomCam, Class Act, CRAE, Disabilities Campaign, International Students, LGBTQ+, and SusCam","Yes"
"61","Oxford Poetry Library","","","","","OX4","We are a mobile, pedal-powered library with no fixed location, but run events all through the city. OX4 is where our admin/mailing address is.","oxfordpoetrylibrary@gmail.com","07511462188","oxfordpoetrylibrary.co.uk","https://www.facebook.com/oxpoetrylibrary","@OxPoetryLibrary","No","","No","","No","","No","","No","","No","","No","","Phoebe Nicholson","oxfordpoetrylibrary@gmail.com","Oxford Poetry Library aims to provide a space in Oxford for people to access and talk about poetry, discover new writing, and be platformed as local writers. As a library, we promote collective ownership, shared resources, and knowledge shared through collaboration in community spaces. It is free to join the library and anyone can borrow books, with no late fees or punishing fines for overdues. We operate out of a big custom-built purple cargo bike, peddling (and pedalling) our wares to farmers markets, festivals, and street events throughout the city for all sorts of people to discover all sorts of poetry. A lot of our work is focused on marginalized groups (such as young people, the homeless and vulnerably housed, and mental health charities), collaborating with other organizations to promote access to literature for people who might not otherwise have it. We also sell zines, books, and magazines created or produced locally and by Oxford writers, run regular events, workshops, and reading groups.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Arts, Media, Culture & Leisure","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","We are a Community Action Group, and work regularly with many other CAGs in our work, most regularly with the East Oxford Farmers and Community Market, South Oxford Community Market, and Flo's The Place in the Park. We also collaborate with Open House Oxford (a public living room and talking shop about housing and homelessness) on a weekly drop-in workshop, run occasional sessions at O'Hanlon House (a homelessness shelter) and The Gatehouse (a drop-in centre for vulnerably housed people and people facing homelessness). We have recently collaborated with Lost Words Oxfordshire on a crowdfunder campaign to get a copy of The Lost Words by Robert Macfarlane/Jackie Morris in every primary school in Oxfordshire. ","Yes"
"65","Solidarity Economy Association","Makespace Oxford","1 Aristotle Lane","","Oxford","OX2 6TP","","info@solidarityeconomy.coop","07983 390434","https://www.solidarityeconomy.coop/","https://www.facebook.com/solidarityeconomyassociation","https://twitter.com/SolidarityEcon","Yes","9am - 5:30pm","Yes","9am - 5:30pm","Yes","9am - 5:30pm","Yes","9am - 5:30pm","Yes","9am - 5:30pm","No","","No","","Kat Darling","kat@solidarityeconomy.coop","A not-for-profit that supports and promotes the solidarity economy - organisations, projects and people working to create a socially just and ecologically sustainable world. ","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Campaigning, Activism & Advocacy","No","No","No","Yes","No","No","No","No","No","No","No","No","Members of: Co-operatives UK, Co-operative College, RIPESS Europe, Global Justice Now. Regularly attend Oxford Co-ops Meet Up group. Based at Makespace Oxford. ","Yes"
"67","Hempen","Hempen","Path Hill Farm","Goring Heath","Reading","RG87RE","","info@hempen.co.uk","+44 7597 263702","www.hempen.co.uk","https://www.facebook.com/hempenorganic/","@hempenorganic","Yes","10am-5pm","Yes","10am-5pm","Yes","10am-5pm","Yes","10am-5pm","Yes","10am-5pm","No","","No","","Ali Silk","media@hempen.co.uk","Hempen is a not for profit workers cooperative growing and producing organic hemp into goods for the benefit of people, community and planet. ","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","Food","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes we are part of Co-ops UK, the Land Workers Alliance and the British Hemp Association.","Yes"
"69","Transition Chipping Norton","17 Quarhill Close","","","Chipping Norton","OX7","","transitionchippingnorton@gmail.com","07803753684","www.TransitionChippingNorton.org.uk","FB.com/TransitionChippingNorton","","No","","No","","No","","No","","No","","No","","No","","Marcus Simmons (Chair)","transitionchippingnorton@gmail.com","Sustainble community solutions - practical intiatives for a thriving, sustainable future for our town","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Food","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Community Action Groups Oxfordshire, Transition Network","Yes"
"70","Open House","36 Little Clarendon Street","","","Oxford","OX1 2HU","","hello@openhouseoxford.org","07525335863","openhouseoxford.org","https://www.facebook.com/OpenHouseOxford/","openhouseox","No","","No","","Yes","10-5","Yes","10-5","Yes","10-5","Yes","10-5","No","","Lucy Warin","lucy@transitionbydesign.org","We’re a public talking shop on housing and homelessness. We like drinking tea, making new friends and talking to strangers about housing. We’re trying to get as many people as possible, especially those without a permanent home, involved in the decisions that are being made about how we house people in Oxford.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Campaigning, Activism & Advocacy","No","Yes","No","No","No","No","No","No","Yes","No","No","No","Oxford Homeless Movement, Community Action Groups, Women's Hope Forum","Yes"
"71","The Village - Childcare Collective","","","","","","No physical address","","","","","","No","","No","","No","","No","","No","","No","","No","","lalordoireann@gmail.com","07507566137","The Village is a collective of 15 families who care for one another's children - like a childcare ""time bank"". This offers free, flexible, trusted and community-based childcare to families.","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Health, Social Care & Wellbeing","No","No","Yes","Yes","No","No","No","No","No","No","No","No","We are under the umbrella of the Children's Allotment.","Yes"
"72","SOMA Housing Co-Operative Ltd","St. John's House","5 South Parade","Summertown","Oxford","OX2 7BR","","secretary@somahousingco-op.org.uk","07833 144296","http://www.somahousingco-op.org.uk/index.html","","","No","","No","","No","","No","","No","","No","","No","","David Urmston","david@oxfordpcsolutions.co.uk","It is SOMA's intention to purchase land in order to establish a sustainable community which is made up of ""social housing"" with tenants living in self built eco homes which they have at an affordable rent. The co-op will also provided support structures that are required and which enable a disabled person to live independently and experience a healthier and more fulfilling life.","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Housing","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","","Yes"
"74","Banbury Community Action Group","","","","","OX16","We don't have a physical address","banburycag@gmail.com","None","https://banburycag.org.uk/","https://www.facebook.com/BanburyCAG/","","No","","No","","No","","No","","No","","No","","No","","Alison Seren","AlisonSeren@outlook.com","Banbury Community Action Group was set up in 2013 to run free local community projects on food, waste, transport and energy.

We meet 1st Tuesday of the month at 4 Ale and Gin, Butchers Row, Banbury and occasionally other locations around the town.

There are always lots of projects on the go including our Community Edible Garden, Give or Take events and work in the Community Orchard.  We are always looking for new people to join us and get involved in a project or start a new one!","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Nature, Conservation & Environment","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","We are part of the Oxfordshire Community Action Groups Network","Yes"
"75","Tolhurst Organic Partnership","The Packing Shed","Hardwick Estate Walled Garden","","Reading","RG8 7RB","","INFO@TOLHURSTORGANIC.CO.UK","07795334474","www.tolhurstorganic.co.uk","Tolhurst Organic","","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Yes","""honesty box"" Lin's VegShed at farm gate","Tamara Schiopu","INFO@TOLHURSTORGANIC.CO.UK","Tolhurst Organic is a farm specialised in local fruit and veg. The food produced here is the product of an entire journey. The journey is one which deeply involves many people who come here, creates a model for Stockfree Organic farming, supports an idyllic rural lifestyle and provides soul food for those who work here and good food for ourselves and our families. Our aim is not to supply every family in the south but to farm with an emphasis on education and conservation. Our farming system not only helps to minimise harmful effects on the environment but feeds you and your family as well.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Food","No","No","No","Yes","No","No","No","No","No","No","No","No","Thames Organic Growers, Organic Growers Alliance, Landworkers Alliance","Yes"
"77","Kindling Housing Co-operative","","","","Oxford","OX4","","info@kindlingcoop.org","01865 806383","http://kindlingcoop.org/","","","No","","No","","No","","No","","No","","No","","No","","Audrey Versteegen","info@kindlingcoop.org","Kindling Housing Cooperative aims to provide a safe, secure, affordable and supportive environment for generations of politically and socially active individuals. We believe this is even more important at a time when other forms of housing are further out of reach. We aim to provide a productive living space for a diverse group of individuals and help to ensure the continuation of vital radical social and ecological projects for a more equal society. Through this project we are attempting to demonstrate and inspire a different way of living: taking decisions by consensus, taking control of our infrastructure, connecting to the community and ecosystem, whilst being practical, empathic, active and egalitarian.  ","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Housing","No","No","No","No","No","No","No","No","No","No","No","No","We are part of the Radical Routes network (global network of fully mutual housing coops). In Oxford we are part of the Fairer Housing Network.","Yes"
"78","SHARE Oxford","Makespace Oxford","1 Aristotle Lane","","Oxford","0X2 6TP","","libraryofthings@shareoxford.org","","https://shareoxford.org/","https://www.facebook.com/shareoxfordLoT/","@shareoxford_lot","Yes","Closed","Yes","16:00 – 19:00","Yes","Closed","Yes","16:00 – 19:00","Yes","Closed","Yes","13:00 – 17:00","Yes","Closed","Alexandra Mates ","Email: alexandra.mates@shareoxford.org / Mobile: 07581386361","SHARE Oxford aims to make sharing easier and to increase access to good quality things so that we may reduce consumption and waste, save money, save the environment, and feel good about it. We host Oxford’s Library of Things, which allows people to borrow instead of buy items needed only occasionally, like outdoor equipment, DIY tools, cooking implements, and more. We also run regular Repair Cafes where our volunteers fix your broken items to keep them in use for longer. ","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","No","No","No","No","No","No","Yes","No","No","No","No","No","Library of Things movement and CAG Oxfordshire Network","Yes"
"79","Harwell Green Club","Harwell Campus","","","Didcot","OX11 0GD","","","","https://www.linkedin.com/groups/8529608/","","","No","","No","","No","","No","","No","","No","","No","","John Vandore","Email: john.vandore@stfc.ac.uk / Phone: 07852 104886","The Harwell Green Club is a forum for People on and off the Harwell Campus with a shared interest in a Low Carbon Sustainable Future. It aims to bring people of this mind together to share information, make new connections and exchange views, meeting informally the third Thursday of the month, and is open to all.","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Nature, Conservation & Environment","No","No","No","No","Yes","No","No","No","No","No","No","Yes","We are a network!","Yes"
"80","Dragonfly Housing Co-operative","178 Campbell Road","","","Oxford","OX4 3NR","","","","https://radicalroutes.org.uk/","","","No","","No","","No","","No","","No","","No","","No","","Alice Hemming","Email: dragonflyoxford@gmail.com / Phone: 01865 770833","Dragonfly is a Housing Co-operative with a mission to provide a fair-priced, democratically-controlled home, whilst encouraging its residents to contribute to various environmental and social justice campaigns. Dragonfly is a member of the Radical Routes network of radical co-operatives, whose members are also committed to working for positive social change. The network is made up mainly of housing co-operatives of various sizes (none with more than 17 members), a few workers co-ops and a couple of social centres.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Housing","No","No","No","No","No","No","No","No","No","No","No","No","Radical Routes","Yes"
"81","Oxford Wood Recycling","4 Suffolk Way","","","Abingdon","OX14 5JX","","info@owr.org.uk","01235 861228","www.owr.org.uk","https://www.facebook.com/OxfordWoodRecycling/","@OxfordWood","Yes","8:30 – 16:30","Yes","8:30 – 16:30","Yes","8:30 – 16:30","Yes","8:30 – 20:00","Yes","8:30 – 16:30","Yes","9:00 – 15:00","Yes","Closed","Richard Snow","Email: richard@owr.org.uk / Phone: 07827293429","Oxford Wood Recycling was established in 2005 to address the sustainability issues surrounding wood waste management in the UK whilst providing employment opportunities for people facing disadvantages to re-enter the workplace. We collect unwanted wood from both commercial and domestic properties that may otherwise end up in landfill. Our reclaimed wood is then cleaned up and offered for sale or made into furniture in our Abingdon workshop - reducing waste and carbon emissions by recycling and up-cycling wood.","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","No","No","No","No","No","No","Yes","Yes","No","No","No","No","We are part of the Community wood Recycling Project network. We are also members of Social Enterprise UK, and OCVA, and the Plunkett foundation in Woodstock.","Yes"
"82","Agile Collective","The Old Music Hall","106-108 Cowley Road","","Oxford","OX4 1JE","","info@agile.coop","01865403120","https://agile.coop","","@AgileCollective","No","","No","","No","","No","","No","","No","","No","","Aaron","Email: aaron@agile.coop / Phone: 7728337459","Agile Collective is an ethical digital agency and worker co-operative with an experienced team based in the UK and Italy. We work exclusively with organisations that have a positive impact in the world, and our clients are most often drawn from the charity, NGO, education and public sectors. We work with open source software and agile delivery methodologies and place a strong emphasis on user experience. Our core technology is the leading open source content management system (CMS), Drupal, but from time to time we also work with other open source platforms including Wordpress.
As a company with a conscience, we contribute to our communities, minimise our environmental impact, value fairness and transparency, and ensure sustainability in our working practices.","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Goods & Services","No","No","No","No","No","No","No","No","No","No","No","No","CoTech, a network of tech worker coops in the UK. The manifesto is at https://www.coops.tech/manifesto","Yes"
"83","Hand me on maternity, baby & toddler kit Oxford","","","","Oxford","OX4 3PB","Facebook Group","","","","https://www.facebook.com/groups/1892367431092261","","No","","No","","No","","No","","No","","No","","No","","Mim Saxl","Email: mimsaxl@hotmail.com / Phone: 7932073091","We are an online community that share and pass on pre-loved maternity, baby and toddler clothes, toys and equipment for free. ","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","No","No","No","No","No","No","No","No","No","No","No","No","","Yes"
"84","Hand me on 3-8yrs kid's stuff Oxford ","","","","Oxford","OX4 3PB","Facebook Group","","","","https://www.facebook.com/groups/1993343017383118","","No","","No","","No","","No","","No","","No","","No","","Mim Saxl","Email: mimsaxl@hotmail.com / Phone: 7932073091","We are an online community that share and pass on pre-loved maternity, baby and toddler clothes, toys and equipment for free. ","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Reduce, Reuse, Repair & Recycle","No","No","No","No","No","No","No","No","No","No","No","No","","Yes"
"85","Low Carbon West Oxford","","","","Oxford","OX2 0ET","","info@lcwo.org.uk","","https://www.lowcarbonwestoxford.org.uk","https://www.facebook.com/lowcarbonwestoxford/","@Low_Carbon_West","No","","No","","No","","No","","No","","No","","No","","N/A","Mobile: 7932073091","Low Carbon West Oxford (LCWO) was set up after the summer floods of 2007 by residents concerned about climate change and local flooding. It is a community-led initiative which aims to combat climate change by cutting their community’s carbon dioxide emissions by 80 % by 2050, encouraging residents to live more sustainably, and contributing to a more cohesive and resilient community. They seek to work in an inclusive manner and ensure that everyone who lives and works in the area has a chance to participate in and benefit from LCWO’s projects.","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","We are part of a network with two local initiative, WOCORe and Osney Lock Hydro – read more about the West Oxford Model here: https://www.lowcarbonwestoxford.org.uk/the-west-oxford-model/
Formal network of CAGs - Community Action Groups - in Oxfordshire
Also part of various informal sub groups working on different particular issues
In addition, we work closely with others through Low Carbon Oxford's Oxford Green Week, Bioregional's One Planet Oxfordshire, Oxfordshire Together on Climate Change and with the Low Carbon Hub - and frequently partner with other groups and networks (both formal and informal) on particular events and topics.","Yes"
"86","South Oxford Farmers and Community Market","South Oxford Community Centre","Lake Street","","Oxford","OX1 4RP","","info@southoxfordfarmersmarket.org.uk	","","http://www.southoxfordfarmersmarket.org.uk/","https://www.facebook.com/southoxfordfarmersmarket","","No","","No","","No","","No","","No","","No","","Yes","9:30 – 12:00","N/A","Tel: 01865 248973","The South Oxford Farmers and Community Market (SOFACOMA) is a weekly market selling ethically-produced local, seasonal and/or organic food and non-food goods. We define ‘local’ as being produced within a 30-mile radius of Oxford; and ‘produced’ as containing a significant quantity of local ingredients and labour. The South Oxford Farmers and Community Market is an initiative of the Low Carbon South Oxford (LCSO) Sustainable Food Group which supports the promotion of local food as a way of helping to combat climate change by reducing the amount of carbon released in the transport of food over long distances.","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Food","No","No","No","No","No","No","Yes","No","No","No","No","No","Kind of. There is an Oxford Community Markets group but it is pretty dormant. We are part of the Low Carbon South Oxford group (also fairly dormant as a committee) which is a CAG member.","Yes"
"87","Oxford GreenPrint","East Oxford Community Centre","OARC (Room 1) upstairs","44 Princes Street","Oxford","OX4 1DD","","mail@oxfordgreenprint.com","01865 682819","http://oxfordgreenprint.com/","https://www.facebook.com/oxfordgreenprint/","@OxGreenPrint","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","12:00 – 14:00 or by arrangement outside these times","Yes","Closed","Yes","Closed","N/A","Tel: 01865 682819 / Email: mail@oxfordgreenprint.com","Oxford GreenPrint is a workers’ co-operative providing ethical, low impact printing to community groups, campaign groups, NGOs and businesses both in Oxford and across the UK. All their printing is done on recycled paper or card using renewable energy.","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Goods & Services","No","No","No","No","No","No","No","No","No","No","No","No","","Yes"
"88","Abingdon Carbon Cutters","St Ethelwolds House","30 East St Helen Street","","Abingdon","OX14 3EB","","carbon.cutters@gmail.com","","http://abingdoncarboncutters.org.uk","https://www.facebook.com/AbingdonCarbonCutters","@AbCarbonCutters","No","","No","","No","","No","","No","","No","","No","","N/A","Mob: 07786 055195","Abingdon Carbon Cutters is a Community Action Group working in and around Abingdon to:
•	help reduce the carbon footprint of Abingdon in response to climate change;
•	promote a sustainable and resilient lifestyle for our town as fossil fuel stocks decline;
•	promote a range of activities consistent with the status of Abingdon as a community in Transition.
They focus on issues relating to food, waste reduction, energy, education and transport.","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","CAG and Transition Network.","Yes"
