"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","name","address[a]","address[b]","address[c]","address[d]","address[e]","address[a1]","email","phone","website","facebook","twitter","hours[SQ001]","hours[SQ001comment]","hours[SQ002]","hours[SQ002comment]","hours[SQ003]","hours[SQ003comment]","hours[SQ004]","hours[SQ004comment]","hours[SQ005]","hours[SQ005comment]","hours[SQ006]","hours[SQ006comment]","hours[SQ007]","hours[SQ007comment]","contactName","contactDetails","description","values[SQ001]","values[SQ002]","values[SQ003]","values[SQ004]","values[SQ005]","structure[SQ001]","structure[SQ002]","structure[SQ003]","structure[SQ004]","structure[SQ005]","structure[SQ006]","structure[SQ007]","structure[SQ008]","structure[SQ009]","structure[SQ010]","structure[SQ011]","structure[SQ012]","activity","secondaryActivities[SQ002]","secondaryActivities[SQ003]","secondaryActivities[SQ004]","secondaryActivities[SQ005]","secondaryActivities[SQ006]","secondaryActivities[SQ007]","secondaryActivities[SQ008]","secondaryActivities[SQ009]","secondaryActivities[SQ010]","secondaryActivities[SQ011]","secondaryActivities[SQ012]","secondaryActivities[SQ013]","network","websiteConsent","contactConsent","suggestedInitiatives","interviewtime","groupTime9","nameTime","addressTime","emailTime","phoneTime","websiteTime","facebookTime","twitterTime","hoursTime","contactNameTime","contactDetailsTime","groupTime10","descriptionTime","valuesTime","structureTime","activityTime","secondaryActivitiesTime","networkTime","groupTime11","websiteConsentTime","contactConsentTime","suggestedInitiativesTime"
"25","2019-04-23 06:44:00","3","en","","2019-04-23 06:37:00","2019-04-23 06:44:00","Botley community fridge","81 West Way","","","Oxford","OX2 9JY","","riki@phonecoop.coop","","https://foodforcharities.com/botley","https://www.facebook.com/Botley-Community-Fridge-1794227194237734/","","Yes","10:00 - 16:00","Yes","10:00 - 16:00","Yes","10:00 - 16:00","Yes","10:00 - 16:00","Yes","10:00 - 16:00","Yes","10:00 - 16:00","Yes","11:00 - 16:00","Riki Therivel","riki@phonecoop.coop","The Botley community fridge is a fridge in St. P&P church, into which anyone can put food and from which anyone can take food.  Mostly the food is surplus food from supermarkets that is picked up by volunteers, and the food is taken by people in need including many rough sleepers.  It's a win-win: environmental and social.  There is shelving next to the fridge with non-perishables that are donated by several food banks, who see the fridge as serving the same clientele that they would normally serve.","N/A","N/A","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Oxfordshire Community Action Groups
Hubbub community fridge group","Yes","No","","446.29","246.28","","","","","","","","","","","189.53","","","","","","","10.48","","",""
"26","2019-04-23 06:49:00","3","en","","2019-04-23 06:45:00","2019-04-23 06:49:00","Leys community fridge","Blackbird Leys Community Centre","Blackbird Leys Road","","Oxford","OX4 6HW","","riki@phonecoop.coop","","https://foodforcharities.com/bbl/","","","Yes","9:00 - 15:00","Yes","9:00 - 15:00","Yes","9:00 - 15:00","Yes","9:00 - 15:00","Yes","9:00 - 15:00","N/A","","N/A","","Riki Therivel","riki@phonecoop.coop","The Leys community fridge is a fridge in the Blackbird Leys community centre into which anyone can put food, and from which anyone can take food.  In practice, most of the food comes from one large supermarket, and is brought to the fridge by volunteers in their private cars.  The fridge provides fresh fruit, vegetables, bread/pastries, dairy products and eggs for free to residents of the most deprived estate in Oxford.  It is a win-win: it reduces food waste and provides food to people who can really use it.","N/A","N/A","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Community Action Group
Oxford City Council","Yes","No","","273.37","108.72","","","","","","","","","","","156.2","","","","","","","8.45","","",""
"27","2019-04-23 09:27:00","3","en","","2019-04-23 08:46:00","2019-04-23 09:27:00","Rose Hill and Iffley Low Carbon (RHILC)","Rose Hill Community Centre","Carole’s Way","Rose Hill","Oxford","OX4 4HF","","rosehill.iffley.low.carbon@gmail.com","07450024363","","https://www.facebook.com/rosehillandiffleylowcarbon/","@RHandILowCarbon","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Yes","15:00 - 20:00","Eleanor Watts","watts.eleanor@yahoo.co.uk","Rose Hill and Iffley Low Carbon is a Community Action Group that works with others to reduce the carbon footprint of our area and to make it more sustainable. We have worked with the organisations in brackets to: install 190 solar panels on Rose Hill Community Centre (OCC: Oxford City Council), solar PV and battery storage on 76 social homes in Rose Hill (Bioregional and OCC),  solar PV and battery storage on Rose Hill Primary School (Low Carbon Hub), a cycle repair kit (Low Carbon Hub and OCC) and  we run local bike repair workshops (Broken Spoke). We work closely with Rose Hill Primary School to plant trees, conduct assemblies and facilitate education about climate change. We organise Repair Cafes where people can get electrical goods, clothes and bikes mended for free (in cooperation with Rose Hill Community Centre). Wa also organise regular talks, workshops and films to raise awareness of particular aspects of sustainability on One Planet Living principles. Over the past five years, we have thermally imaged over 150 houses to check where heat is leaking out and advise on economic ways to insulate homes (assisted by CAG, the Low Carbon Hub and Bioregional). We are about to cooperate with 'Cosy Homes Oxfordshire' in providing expert insulation advice for individual house-holders. We are also exploring the possibility of heating Rose Hill homes with waste heat from Sainsbury's cooling systems (through Bioregional and OCC).","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Energy","N/A","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","Yes","We are a part of the Community Action Group (CAG) Network, through which we cooperate with other CAGs, in particular LEAF Florence Park, Low Carbon East Oxford, Low Carbon Oxford North, Low Carbon West Oxford, We are members of the Low Carbon Hub CIC and actively promote  their share offers in renewable energy (solar PV on schools and Sandford and Osney Lock Hydro). We recently had training in One Planet Living from Bioregional and we won funding for them to train the teachers at Rose Hill Primary School in One Planet Living principles. The City Council has been very supportive of our group over many initiatives. We are currently working with them on: 1)  fabric first, low carbon design standards for the new flats at The Oval 2) cycle racks in Iffley Village 3) a heat network using waste heat from Sainsbury's coolers. We participate in working parties with BBOWT at our local Rivermead Nature Reserve. We collaborated with Cyclox on our Cycling Festival in June 2018 and our petition for segregated, continuous  cycle lanes into the city centre (which gained 1986 signatures).","Yes","Yes","All the Community Action Groups (CAGs) in Oxford, BBOWT, Cyclox, the Low Carbon Hub, Bioregional, Rose Hill Community Centre.","2480.13","342.27","","","","","","","","","","","1995.68","","","","","","","142.18","","",""
"28","2019-04-23 10:04:00","3","en","","2019-04-23 09:43:00","2019-04-23 10:04:00","Oxfordshire Social Entrepreneurship Partnership (OSEP)","1 Aristotle Lane","","","Oxford ","OX2 6TP","This is the registered office and not used as an office","info@osep.org.uk","","www.osep.org.uk","https://www.facebook.com/OSEP-Oxfordshire-Social-Entrepreneurship-Partnership-266448560208903/","@OSEPOX","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Grant Hayward","grant@collaborent.co.uk","OSEP is a support organisation for Social Enterprise and other organisations making positive social and environmental impact. It has been established as a Community Interest Company by local social entrepreneurs with the support of both Oxford universities and other key local and national stakeholders. ","N/A","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Member of Social Enterprise UK, working closely with other local orgs such as CAG and LCH etc","Yes","Yes","We will continue to keep promoting and signposting to your work","1275.35","438.04","","","","","","","","","","","801.41","","","","","","","35.9","","",""
"31","2019-04-23 22:57:00","3","en","","2019-04-23 21:45:00","2019-04-23 22:57:00","African Families in the UK (AFiUK) and WOW Space (Women Of the World)","Blackbird Leys Library","Blackbird Leys Rd","","Oxford","OX4 6HT","","africanfamiliesintheuk@gmail.com","07921462949","https://www.africanfamilies.co.uk/","https://www.facebook.com/africansinUK/","@AfricansinUK","N/A","","N/A","","Yes","16:00 - 17:00 - Homework Club","N/A","","Yes","11:00 - 14:30 - WOW Space ","N/A","","N/A","","Jacqui Gitau","07921 462949 / africanfamiliesintheuk@gmail.com","A community Interest Company  offering Training, Information, Support, and Advocacy in Health, Social Care, and Education; to third culture British African children and their families.  These services are extended to other newly arrived migrant families.  We run periodic cross cultural parenting courses for parents, as well as a weekly Women's group offering training in healthy family relationships and female wellbeing targeting BAMER women.
","Yes","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Health, Social Care & Wellbeing","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","4324.4","1142.77","","","","","","","","","","","3145.94","","","","","","","35.69","","",""
"36","2019-04-24 17:11:00","3","en","","2019-04-24 17:05:00","2019-04-24 17:11:00","Oxford SU LGBTQ+ Campaign","","","","","OX1 ","We do not have a physical address","lgbtq-chair@oxfordsu.ox.ac.uk","","https://www.oxfordsu.org/campaigns/lgbtq/","https://www.facebook.com/lgbtqoxford/","@OxfordSU_LGBTQ","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Henna Khanom","lgbtq-chair@oxfordsu.ox.ac.uk","The LGBTQ+ Campaign is the political campaigning arm of Oxford’s queer community. We frequently work alongside the Student Union, LGBTQ+ college reps, and the OU LGBTQ+ Society. We have officers for the majority of the specific identities and intersections of the LGBTQ+ umbrella. We are also keen to work with LGBTQ+ community activist groups based in Oxford. If this is you, please feel free to email us. 

Oxford SU LGBTQ+ Campaign takes a very active role in student life: We oversee the organisation of LGBTQ+ 101 workshops at approximately half of Oxford colleges. We engage in a broad range of events, including protests and demonstrations, engaging with the local community and hosting talks, panel discussions, round tables, social events, and photo campaigns. We also work with the University's and colleges' administration to improve the lives of LGBTQ+ students. 

One of Campaign’s current priorities is fighting transphobia and improving the living and working conditions of transgender students in Oxford. We have conducted a trans survey based on which we are working towards changing policies at both a university and college level to tackle hate speech both broadly and pertaining to specific LGBTQ+ identities.
Feel free to get in contact with us at lgbtq-chair@oxfordsu.ox.ac.uk or by messaging the Facebook page.","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","","342.69","145.43","","","","","","","","","","","181.84","","","","","","","15.42","","",""
"39","2019-04-24 19:35:00","3","en","","2019-04-24 19:22:00","2019-04-24 19:35:00","Oxford Human Rights Festival","c/o School of Architecture","Oxford Brookes University","Headington Campus","Oxford","OX3 0BP","","OxHRF@brookes.ac.uk","","https://www.oxfordhumanrightsfestival.net/","https://www.facebook.com/OxfordHumanRightsFestival/","@OxHRF","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Angela Hatherell","ahatherell@brookes.ac.uk   07703151851","The Oxford Human Rights Festival was started as a film festival in 2001 by Oxford Brookes students on the MA Development and Emergency Practice course. The aim of the festival is to raise awareness of human rights issues through the arts. It is now curated by students from across the university and the annual programme includes film and documentary screenings, lectures, workshops, exhibitions, and performances. All events take place at Oxford Brookes University, are free and open to everyone; students, staff and the wider Oxford community. ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Arts, Media, Culture & Leisure","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Partner of the International Human Rights Arts Festival in New York. https://ihraf.org/partners We also took part in this year's Oxford International Women's Festival.","Yes","Yes","Oxford Pride, Transition By Design, Oxford Young Greens.","812.53","140.38","","","","","","","","","","","593.64","","","","","","","78.51","","",""
"44","2019-04-26 14:01:01","3","en","1937515070","2019-04-26 13:53:37","2019-04-26 14:01:01","Oxford City Council Co-operatives Champion","Oxford Town Hall","St Aldate’s","","Oxford","OX1 1BX","","Cllrrhowlett@oxford.gov.uk ","","","https://www.facebook.com/richardforcarfax/","","No","","No","","No","","No","","No","","No","","No","","Cllr Richard Howlett","07960 465594","Oxford City Council appointed Cllr Richard Howlett to act as its Co-operatives Champion in January 2019. The ‘champion’ role is a way for non-executive cllrs to represent the council on areas about which they are passionate. Richard Howlett has worked in co-ops in the city for the past decade and is committed to the growth of the local co-op economy. He convened an ‘advisory group’ of local co-operators who sit around the role to give advice and support and to whom he is accountable.  ","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Campaigning, Activism & Advocacy","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","","445.91","177.43","","","","","","","","","","","258.88","","","","","","","9.6","","",""
"47","2019-04-29 11:01:00","3","en","","2019-04-29 10:28:00","2019-04-29 11:01:00","Common Ground Café & Workspace","37-38 Little Clarendon Street","","","Oxford","OX1 2HF","","jake@littlec.co.uk","","https://www.commongroundstudy.space/","https://www.facebook.com/CommonGroundWorkspace/","","Yes","08:00 - 18:00","Yes","08:00 - 18:00","Yes","08:00 - 18:00","Yes","08:00 - 18:00","Yes","08:00 - 18:00","Yes","08:30 - 17:00","N/A","","Jake Backus","jake@littleC.co.uk","Common Ground is a social enterprise pop-up café and workspace where people can stay as long as they like.  (Free wifi and power, but buy something to keep us afloat.)  
Our social purpose is to support student mental health by providing a relatively quiet space where people can come and just “be” on their own terms.  Less lonely than your room and more connected with society than the college library.  We have time to be friendly and welcoming.  
However, we “create community” and have morphed into a social space for this part of Jericho.
We host many different events in the evenings and for groups looking for somewhere to meet and have yoga twice a day too.
Everything is as sustainable as possible and is second hand, upcycled, made or donated.   
","Yes","Yes","Yes","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Community & Collective Spaces","Yes","Yes","Yes","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","Yes","We support groups with similar goals or aims, including social enterprise start-ups, repair café, student minds, etc. ","Yes","Yes","Open House (next door), Repair Café, Makespace, Broken Spoke, Oxfordshire Youth Cycling (jakebikebackus@gmail.com)","1986.49","340.06","","","","","","","","","","","1572.52","","","","","","","73.91","","",""
"48","2019-04-29 11:53:00","3","en","","2019-04-29 11:38:00","2019-04-29 11:53:00","Wolvercote Sunday Market","The White Hart","126 Godstow Road","Wolvercote","Oxford","OX2 8PQ","","wolvercotesundaymarket@gmail.com","","","https://www.facebook.com/pages/category/Farmers-Market/Wolvercote-Sunday-Market-159418914693296/","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Yes","10:00 - 13:00","Matthew Simpson","wolvercotesundaymarket@gmail.com","This is a small weekly market run by volunteers and held in a community-run pub. It offers local organic eggs, a range of organic vegetables and fruits (from local sources whenever possible), sourdough breads and cakes made from organic flour, plus (visiting the market at various intervals from fortnightly to monthly) other local products like jams, Italian and Greek foods, cured meats, knitted clothing, plants, etc., plus services such as the local councillors' surgery. The pub provides Sunday breakfast, teas and coffees, meanwhile.","N/A","N/A","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","Yes","N/A","Yes","Yes","N/A","Yes","N/A","N/A","Yes","N/A","","Yes","Yes","","915.76","298.57","","","","","","","","","","","581.78","","","","","","","35.41","","",""
"49","2019-04-30 11:19:00","3","en","","2019-04-30 11:09:00","2019-04-30 11:19:00","Rose Hill Carpet Bowls and New Age Curling ","Rose Hill Community Centre ","Carole’s Way","Rose Hill","Oxford","OX4 4HF","","","","https://www.meetup.com/Rose-Hill-Carpet-Bowls-and-New-Age-Curling/","","","N/A","","N/A","","N/A","","Yes","14:00 - 15:00","N/A","","N/A","","N/A","","Graham West","grahamvwest@gmail.com","Welcome to Rose Hill Carpet Bowls And New Age Curling. This meetup group is for those interested in carpet bowls and / or new age curling and would like to try out a new sport.","N/A","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Arts, Media, Culture & Leisure","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","","Yes","Yes","","604.29","354.24","","","","","","","","","","","229.41","","","","","","","20.64","","",""
"52","2019-05-01 21:08:00","3","en","","2019-05-01 21:03:00","2019-05-01 21:08:00","Communi-tea Cafe","1 Cuddesdon Way","Blackbird Leys","","Oxford","OX4 6JH","","holyfamilybbl@gmail.com","01865396241","http://www.holyfamilybbl.co.uk/communi-tea-cafe","https://www.facebook.com/Communiteacafebbl/","","Yes","09:00 - 14:30","Yes","09:00 - 14:30","Yes","09:00 - 14:30","Yes","09:00 - 14:30","Yes","09:00 - 14:30","N/A","","N/A","","Sasha East / Rev Heather Carter","Sasha: community@holyfamilybbl.co.uk / Heather: holyfamilybbl@gmail.com","A friendly community cafe in Blackbird Leys serving breakfasts and tasty Caribbean food.","N/A","Yes","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","Yes","Yes","Leys CDI","339.56","175.11","","","","","","","","","","","151.65","","","","","","","12.8","","",""
"53","2019-05-02 12:14:00","3","en","","2019-05-02 12:06:00","2019-05-02 12:14:00","Allsorts Rose Hill","Rose Hill Methodist Church","34 Singletree","Rose Hill","Oxford","OX4 4JS","","","","","","","N/A","","N/A","","N/A","","Yes","12:30 - 14:30","N/A","","N/A","","N/A","","Anna Missa","ajmissa@gmail.com","Stay-and-play run by volunteers to support families with children under 5.","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Health, Social Care & Wellbeing","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","Yes","Yes","","435.25","238.77","","","","","","","","","","","179.88","","","","","","","16.6","","",""
"59","2019-05-03 08:55:00","3","en","","2019-05-03 08:34:00","2019-05-03 08:55:00","Campaign for Real Farming and Food Culture","","","","","","no physical address - but I'm based in Wolvercote. So will OX2 do?","ruth@feanetwork.org","01865318997","http://www.campaignforrealfarming.org/","","@realfarming","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Ruth","01865318997","The campaign exists to help create ""convivial societies within a flourishing biosphere"" by bringing about an agrarian renaissance based on the principals and practices of ""Real Farming"".  Real farming is defined as “Farming that is expressly designed to provide everyone everywhere with food of the highest quality, forever, without wrecking the rest of the world”. 
The campaign seeks to bring about the necessary changes along  four pathways: farm practice based on agroecology; the introduction of food sovereignty whereby individuals and communities have charge of their own food supply; economic democracy - essentially a tripartite mixed economy, with cooperation and social enterprise key drivers; and respect for traditional knowledge including attitudes towards ownership of land.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Loads!  eg Sustain the Alliance for Sustainable Food and Farming; the Pasture Fed Livestock Association, UK Food Group, the Landworkers' Alliance, the European Network for Access to Land, Land Justice. . . ","Yes","Yes","","1238.52","203.32","","","","","","","","","","","1013.66","","","","","","","21.54","","",""
"60","2019-05-03 14:55:00","3","en","","2019-05-03 14:43:00","2019-05-03 14:55:00","Oxford SU Women’s Campaign","Oxford SU","","","Oxford","OX1","","womcam@oxfordsu.ox.ac.uk","","https://www.oxfordsu.org/campaigns/WomCam/","https://www.facebook.com/womcam/","@womcam","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Danielle Twiss","danielle.twiss@spc.ox.ac.uk","The women’s campaign is for all women (trans, cis, and intersex) and non-binary people, including those with complex gender identities who associate in some way with the term woman, as well as those who feel they experience structural misogyny. We organize a range of events from feminist discussion groups and panels to working on lobbying the university and collaborating on demonstrations. All our events are very welcoming and there’s no level of experience or knowledge required or expected to attend. We also hold regular open meetings where women and non-binary students are very welcome. These are a great opportunity for anyone outside our committee to bring ideas and suggestions to us. Our facebook page is the best place to keep up with what we’re doing, to get involved with our events, and to contact us with any inquiries or suggestions.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Campaigning, Activism & Advocacy","N/A","N/A","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","We are a part of the Oxford SU campaigns, which include WomCam, Class Act, CRAE, Disabilities Campaign, International Students, LGBTQ+, and SusCam","Yes","Yes","","741.42","288.39","","","","","","","","","","","436.89","","","","","","","16.14","","",""
"61","2019-05-05 17:31:00","3","en","","2019-05-05 17:18:00","2019-05-05 17:31:00","Oxford Poetry Library","","","","","OX4","We are a mobile, pedal-powered library with no fixed location, but run events all through the city. OX4 is where our admin/mailing address is.","oxfordpoetrylibrary@gmail.com","07511462188","https://oxfordpoetrylibrary.wordpress.com/","https://www.facebook.com/oxpoetrylibrary","@OxPoetryLibrary","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Phoebe Nicholson","oxfordpoetrylibrary@gmail.com","Oxford Poetry Library aims to provide a space in Oxford for people to access and talk about poetry, discover new writing, and be platformed as local writers. As a library, we promote collective ownership, shared resources, and knowledge shared through collaboration in community spaces. It is free to join the library and anyone can borrow books, with no late fees or punishing fines for overdues. We operate out of a big custom-built purple cargo bike, peddling (and pedalling) our wares to farmers markets, festivals, and street events throughout the city for all sorts of people to discover all sorts of poetry. A lot of our work is focused on marginalized groups (such as young people, the homeless and vulnerably housed, and mental health charities), collaborating with other organizations to promote access to literature for people who might not otherwise have it. We also sell zines, books, and magazines created or produced locally and by Oxford writers, run regular events, workshops, and reading groups.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Arts, Media, Culture & Leisure","N/A","N/A","Yes","Yes","N/A","N/A","N/A","Yes","N/A","N/A","Yes","Yes","We are a Community Action Group, and work regularly with many other CAGs in our work, most regularly with the East Oxford Farmers and Community Market, South Oxford Community Market, and Flo's The Place in the Park. We also collaborate with Open House Oxford (a public living room and talking shop about housing and homelessness) on a weekly drop-in workshop, run occasional sessions at O'Hanlon House (a homelessness shelter) and The Gatehouse (a drop-in centre for vulnerably housed people and people facing homelessness). We have recently collaborated with Lost Words Oxfordshire on a crowdfunder campaign to get a copy of The Lost Words by Robert Macfarlane/Jackie Morris in every primary school in Oxfordshire. ","Yes","Yes","All of the CAGs! https://cagoxfordshire.org.uk/oxfordshire-groups/

Young Women's Music Project http://www.ywmp.org.uk/","760.1","129.33","","","","","","","","","","","559.22","","","","","","","71.55","","",""
"65","2019-05-07 11:56:00","3","en","","2019-05-07 11:46:00","2019-05-07 11:56:00","Solidarity Economy Association","Makespace Oxford","1 Aristotle Lane","","Oxford","OX2 6TP","","info@solidarityeconomy.coop","07983390434","https://www.solidarityeconomy.coop/","https://www.facebook.com/solidarityeconomyassociation","@SolidarityEcon","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Kat Darling","kat@solidarityeconomy.coop","A not-for-profit that supports and promotes the solidarity economy - organisations, projects and people working to create a socially just and ecologically sustainable world. ","Yes","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Members of: Co-operatives UK, Co-operative College, RIPESS Europe, Global Justice Now. Regularly attend Oxford Co-ops Meet Up group. Based at Makespace Oxford. ","Yes","Yes","","313.47","181.69","","","","","","","","","","","118.26","","","","","","","13.52","","",""
"67","2019-05-08 15:27:00","3","en","","2019-05-08 13:04:00","2019-05-08 15:27:00","Hempen","Hempen","Path Hill Farm","Goring Heath","Oxfordshire","RG87RE","","info@hempen.co.uk","+44 7597 263702","https://www.hempen.co.uk/","https://www.facebook.com/hempenorganic/","@hempenorganic","Yes","10:00 - 17:00","Yes","10:00 - 17:00","Yes","10:00 - 17:00","Yes","10:00 - 17:00","Yes","10:00 - 17:00","N/A","","N/A","","Ali Silk","media@hempen.co.uk","Hempen is a not for profit workers cooperative growing and producing organic hemp into goods for the benefit of people, community and planet. ","Yes","Yes","Yes","Yes","Yes","N/A","Yes","Yes","N/A","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","Food","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Yes","N/A","N/A","Yes","N/A","Yes we are part of Co-ops UK, the Land Workers Alliance and the British Hemp Association.","Yes","Yes","Navigate Co-operative","5343.08","1171.29","","","","","","","","","","","4000.78","","","","","","","171.01","","",""
"69","2019-05-08 14:50:00","3","en","","2019-05-08 14:38:00","2019-05-08 14:50:00","Transition Chipping Norton","17 Quarhill Close","","","Chipping Norton","OX7","","transitionchippingnorton@gmail.com","07803753684","https://transitionchippingnorton.org/","https://www.facebook.com/TransitionChippingNorton/","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","Marcus Simmons (Chair)","transitionchippingnorton@gmail.com","Sustainble community solutions - practical intiatives for a thriving, sustainable future for our town","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Food","N/A","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Community Action Groups Oxfordshire, Transition Network","Yes","Yes","Extinction Rebellion - Banbury, West Oxon, Charlbury groups (as well as the obvious Oxford group)
Hook Norton - Low Carbon group
please can you clarify if by 'Oxford' you mean the whole county of Oxfordshire? If not, then please disregard this whole application! We are 20 miles/1 hour bus journey from Oxford!","677.04","255.02","","","","","","","","","","","272.83","","","","","","","149.19","","",""
"70","2019-05-08 14:46:00","3","en","","2019-05-08 14:42:00","2019-05-08 14:46:00","Open House","36 Little Clarendon Street","","","Oxford","OX1 2HU","","hello@openhouseoxford.org","07525335863","http://openhouseoxford.co.uk/","https://www.facebook.com/OpenHouseOxford/","@OpenHouseOx ","N/A","","N/A","","Yes","10:00 - 17:00","Yes","10:00 - 17:00","Yes","10:00 - 17:00","Yes","10:00 - 17:00","N/A","","Lucy Warin","lucy@transitionbydesign.org","We’re a public talking shop on housing and homelessness. We like drinking tea, making new friends and talking to strangers about housing. We’re trying to get as many people as possible, especially those without a permanent home, involved in the decisions that are being made about how we house people in Oxford.","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","Yes","N/A","Campaigning, Activism & Advocacy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","Oxford Homeless Movement, Community Action Groups, Women's Hope Forum","Yes","Yes","Donnington Doorstep, Young Womens Music Project","235.12","91.38","","","","","","","","","","","115.53","","","","","","","28.21","","",""
