Contacted,Responded,Met,Name,Postcode,Lat/Long,Web,Tags,Contact Person,Email,Phone,Address,Notes from post it,Description from website
21/11/2018,,,Mindful Therapies Centre,NE16UF,,https://www.mindfultherapies.org.uk/,,Dr. Rachel Jones-Wild (Managing Director),info@mindfultherapies.org.uk; rachel@mindfultherapies.org.uk,,"Lower Ground Floor, 15 Carliol Square, Newcastle upon Tyne",,"Mindfulness is the art of focus, awareness and attention. We provide drop-in meditation classes, mindfulness training, counselling and coaching. We are a not-for-profit, which means that all income goes back into the community."
21/11//2018,22/11/2018,,Chopwell Men's Shed CIC,NE17 7HS,,https://www.facebook.com/chopwellshed/,,"Jim Third, Chairman",,07469 820200,"Chopwell Community Centre, Derwent St, Chopwell, Newcastle upon Tyne",,"The Chopwell Men’s Shed was established in May of 2016. We meet Monday’s between 10:30 and 12:30. Some come for the conversation, others for the workshop. The Men’s Shed has a kitted out workshop where you can work on your own project, contribute to the various group projects or just enjoy a cuppa and a catch up with some like minded blokes."
21/11/2018,22/11/2018,,Chopwell Community Centre,NE17 7HS,,http://www.chopwellcommunitycentre.co.uk,,Tracey Charlton Drewett,chopwellcc@btconnect.com,01207 562462,"Derwent Street, Chopwell, Newcastle Upon Tyne",,Chopwell Community Centre is at the heart of Chopwell village. This is an ex mining village in semi rural location on the outskirts of the West of Gateshead.
21/11/2018,,,Canny Little Library,NE2 1BB,,https://cannylittlelibrary.wordpress.com/,,,cannylittlelibrary@yahoo.co.uk,,,mobile radical library,"The Canny Little Library is a small collectively run library stocking radical, informative, alternative books, including sections on politics, global struggles, DIY, info for action, Queer, anarchism, feminism, workers’ struggles and more."
,,,Albert Kennedy Trust,NE2 2AA,,https://www.akt.org.uk/,,,,0191 281 0099,"1 Osborne Road, Jesmond, Newcastle upon Tyne",LGBT charity that supports young people who are isolated or homeless,"WE ARE THE NATIONAL LGBTQ+ YOUTH HOMELESSNESS CHARITY; FOCUSED ON PREVENTION AND EARLY ACTION WE PROVIDE: SAFE HOMES, MENTORING, TRAINING, ADVOCACY AND SUPPORT TO YOUNG PEOPLE WHO ARE HOMELESS OR LIVING IN A HOSTILE ENVIRONMENT AFTER COMING OUT TO THEIR PARENTS, CARE GIVERS AND PEERS."
21/11/2018,27/11/2018,,Ec-Architects,NE2 3AN,,http://www.ec-architects.net/ec-architects/home.html,,Armelle Tardiveau and Daniel Mallo (suggested by Ed Wainright),info@ec-architects.net,,Newcastle University?,community-led architecture,"Armelle Tardiveau and Daniel Mallo founded ec-architects in 2004 focusing primarily on architecture as an enabling tool: mobilising users in defining a brief and informing the design, as well as steering dialogue and social dynamics. The enabling philosophy also consists of working with time, and offering platforms that allow spatial flexibility and capacity for change. The practice is deeply engaged in material research and challenges the constraints of budget limitation as a creative opportunity to work with alternative, low-cost and off-the-shelf materials whilst promoting self-built construction methods and an environmentally embedded approach in the design process. "
22/11/2018,,,CT Furniture Newcastle Blyth,NE24 5BS,,http://www.ctfurniture.org/newcastle/,,,furniture@communitytransport.org,,"Unit 1A – 2A, Albion Retail Centre, Cowpen Road, Blyth",,"CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
21/11/2018,10/12/2018,14/12/2018 phone,Station Master's Community Wildlife Garden,NE26 2QT,,http://www.stationmastersgarden.org/,,Duika ,stationmastersgarden@gmail.com,07875 597 049,Whitley Bay Metro Station,,"The Station Master's Community Wildlife Garden is a not-for-profit community led initiative in Whitley Bay, Tyne and Wear. The garden offers an opportunity for people to join in and experience the journey of sourcing food and reconnecting with the natural environment. It is a space designed for inclusion. There are accessible raised beds for food demonstration and growing, children friendly beds and wild spaces for natural play, events areas and sites for biodiversity (for bees, slow worms etc). It provides creative opportunities and openings for all ages to join in, keep active and connected, and maybe make a new friend."
21/11/2018,23/11/2018,13/12/2018,Hebburn Helps,NE31 1QY,,http://hebburnhelps.co.uk/,,Angie and Jo,hebburnhelps@hotmail.com,0191 4899707,"South Tyneside Childrens Centre, Campbell Park Rd, Hebburn ","sharing, sourcing stuff people need, food bank, clothes bank","A Voluntary Community Organisation that was set up to help local families who are finding it hard and are struggling to make ends meet. We provide food parcels, adults clothing, kids clothing, baby equipment, toys, household items and more."
21/11/2018,,,Groundwork South Tyneside and Newcastle,NE31 1SR,,https://www.groundwork.org.uk/sites/stan,,"Leigh Venus (Operations Manager, Culture/Heritage)",enquiries@groundwork-stan.org.uk,0191 4281144,"The Eco Centre, Windmill Way, Hebburn",community and environmental charity,"Groundwork South Tyneside & Newcastle helps people and organisations make changes in order to create better neighbourhoods, to build skills and job prospects and to live and work in a greener way. We know that the important issues are all connected – so our work can’t easily be placed in boxes marked 'environmental issues’, 'regeneration', 'employment' or 'health'. We create projects and services that benefit both people and the wider environment."
21/11/2018,,,The Angelou Centre,NE4 5NS,,http://angelou-centre.org.uk/,,Umme Imam,umme@angelou-centre.org.uk; admin@angelou-centre.org.uk,0191 226 0394,"17 Brighton Grove, Newcastle upon Tyne",support centre for women of colour,The Angelou Centre is a black-led women’s centre based in the Newcastle upon Tyne. We offer a range of holistic women only services for Black and Minority Ethnic (BME) women across the North East region. As well as frontline support we also work at strategic and national levels ensuring the voices of BME women are represented and heard. We fully support women with disabilities and LBTQI women. The Angelou Centre is wheelchair accessible.
21/11/2018,,,CT Furniture Newcastle West,NE4 6QA,,http://www.ctfurniture.org/newcastle/,,,,,"Unit 2 Mill Lane, Newcastle",,"CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
21/11/2018,,,CT Furniture Newcastle East,NE6 1JR,,http://www.ctfurniture.org/newcastle/,,,,,"The Grand, Heaton Terrace. Newcastle","West, East and Blyth, second hand furniture","CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
21/11/2018,,,Newcastle Wood Recycling Yard,NE6 2PA,,http://welovewood.org/,,,hello@welovewood.org,0191 265 4845,"The Wood Yard, Welbeck Road, Newcastle upon Tyne",CIC,"Newcastle Wood Recycling is a not-for-profit organisation set up to: Collect waste timber; Re-use waste timber; Create sustainable jobs and voluntary opportunities for local people; Provide affordable reclaimed timber, furniture & garden products to the community. Our aims are to divert as much wood as possible from the waste stream in the North East and in doing so, to create jobs, training and volunteering opportunities to people in the local community."
21/11/2018,27/11/2018,,Byker Community Centre,NE6 5DX,,https://bykercommunity.squarespace.com,,Roweena Russell,roweena@bykerca.org; bykerca@yahoo.com,(0191) 265 5777,"153 Headlam Street, Byker, Newcastle Upon Tyne",,"We are a community association based in Byker Community Centre, since 1986 (although the building has been here since 1928) where we offer a multitude of activities and services, implemented by ourselves and in partnership with a variety of local and community organisations from all around the city. We have many adults and children with disabilities, who we provide activities for as well as training and volunteer opportunities."
,,,Soundroom Community Project,NE8 1PH,,https://www.thesoundroom.org.uk/,,"Mark, Julianne Or Tom",,0191 4771116,"Redheugh Studios, Cuthbert Street, Teams, Gateshead","music recording studio, working with excluded young people","Here at The Soundroom we offer a wide range of sessions, projects and activities to give music related opportunities to people of all ages and abilities."
21/11/2018,24/11/2018,18/12/2018 phone,The Comfrey Project,NE8 1QB,,http://thecomfreyproject.org.uk/,,Eleni (suggested by Ben Jones),info@thecomfreyproject.org.uk,0191 447 7801,"Windmill Hills Centre, Chester Place, GATESHEAD","Asylum seekers/refugee org, using food/growing","The Comfrey Project provides refugees and people seeking asylum across Tyneside with a safe, welcoming environment, which promotes personal well-being through a sense of place and belonging. This is achieved by various shared creative crafts including allotment gardening, cooking and crafts. We have a down to earth approach to social integration and community health. Listening, sharing and inclusion are fundamental to everything we do."
,,spoke to Barbara Keating,Friends of Saltwell Park,NE9 5AX,,https://www.friendsofsaltwellpark.co.uk/,,Michael Turner (suggested by Ben Jones) (also Barbara Keating is connected),landswood@btinternet.com,,"Saltwell Towers, Saltwell Park, Gateshead","bee keeping, connected to bee keeping association",We look to promote and protect the well being and enjoyment of the Park for the benefit of the local community.
21/11/2018,24/11/2018,29/11/2018 phone chat,Tyneside Beekeeping Association,NE9 6BR,,https://tynesidebeekeepers.wordpress.com/,,Barbara Keating (suggested by Ben Jones),chair.tynesidebees@gmail.com,07833 695764; 0191 4135794,"St Helens Church Hall, Belle Vue Bank, Low Fell, Gateshead ",,"Tyneside Beekeepers is a friendly, open group of beekeepers based in the North East of England, around Newcastle and Gateshead. We are open to both beekeepers and those interested in bees.There are regular talks, demonstrations and training on beekeeping, gardening for honey bees and other pollinators, and hive produce processing."
21/11/2018,Sue will share with colleague,14/12/2018 phone,Altered Eating Research Network,,,https://research.ncl.ac.uk/alteredeating/,,Dr Duika Burges Watson (Network Lead),sue.lewis@durham.ac.uk,,Newcastle University,"ask Sue Lewis, connected to Station Masters Community Garden","The Altered Eating Research Network. The Network formed in 2018 to address difficulties around food and eating in a comprehensive way and as a trans-diagnostic concern. Altered eating may be the result of disease, illness, life-course transitions and/or external contextual issues and may involve time-limted or chronic difficulties with food and eating - see our list of 'who has altered eating'. The Altered Eating Framework addresses the physical to the social and emotional consequences; and our team is developing a menu of interventions to address eating disruption (for example: smell and taste training, cooking workshops, coping tips and hints). The network also considers broader contexual issues that may result in Altered Eating difficulties from source to senses - including climate change impacts on the availability and cost of food, economic and social change, and the sensory experience of 'ultra-processed' foods. The AE Research Network is developing a public interface for the many people whose difficulties with food and eating are under-recognised and unsupported"
,,,Anonymous for the Voiceless,,,https://www.anonymousforthevoiceless.org/ ;  https://www.facebook.com/groups/906661306176025,,"Leigh Venus, Community Leader",leighvenus@gmail.com,,Newcastle/Sunderland,social justice/animal liberation advocacy,"Anonymous for the Voiceless is an animal rights organisation that specializes in street activism. Through the use of local standard-practice footage, we expose the public to what they are intentionally hidden from when it comes to animal exploitation. Combining this with a value-based sales approach and resource literature, we fully equip the public with everything they need in switching to a vegan lifestyle. We hold an abolitionist stance on animal exploitation."
check RH,,,Cobalt Studios,NE2 1AP,,http://www.cobaltstudios.co.uk/,,Kathryn Hodgkinson,cobaltstudiosltd@gmail.com,0191 2323553,"10 Boyd St, Newcastle upon Tyne ",has done some mapping,"Cobalt Studios nurtures, facilitates and showcases culture by developing space to host artists and audiences."
21/11/2018,replied?,,Cohousing upon Tyne (CO-HUT),,,,,,cohousingupontyne@gmail.com,,,community co-housing across Tyneside,We are a group of people who want to create an urban or suburban co-housing community in the Tyneside area.
21/11/2018,22/11/2018 forwarded to Giovanni Spatuzzi,,Newcastle Council for Voluntary Services,NE1 8AF,,https://www.cvsnewcastle.org.uk/,,(suggested by Richard?),information@cvsnewcastle.org.uk,0191 232 7445,"Higham House. Higham Place, Newcastle upon Tyne",,"Newcastle CVS provides a trusted, independent voice to individuals who struggle to be heard and support to voluntary, community and social enterprise organisations in Newcastle and Gateshead to be more resilient and sustainable."
21/11/2018,,,Culture Kitchen,NE1 8JN,,http://www.culturekitchen.org.uk/,,Sally Pilkington,info@culturekitchen.org.uk,0191 340 0140,"19A Ridley Pl, Newcastle upon Tyne ","asylum seekers and refugees, brought together around food","Culture Kitchen in the Community has been designed to bring people from communities together to experience a culture different or perhaps new to them. The purpose is for our volunteers to get the opportunity to lead on high profile events and develop many skills through that process, but also importantly to have the chance to express and explain their cultures through food, whilst meeting people from the wider community. We want to give people from different communities the chance to meet with our volunteers, try their food, ask them questions and hopefully this all creates a shared understanding and respect in communities. /// Since 2010, registered charity Culture Connect has proudly delivered Culture Kitchen events on Tyneside.  Our community food projects are run by a team of volunteer cooks from all over the world living in Newcastle upon Tyne and Gateshead. Many of the volunteers are claiming asylum in the UK or are people who are refugees as they have been granted asylum.  Most originate from Africa and the Middle East, areas of rich and exciting culinary heritage not always represented by the restaurants on Britain’s high streets. Through the food events, the volunteers bring people together to learn about their cultures and their journeys to the UK.  Culture Connect and its Culture Kitchen volunteer’s aim to create strong communities of respect, co-operation and cultural understanding. Through volunteering, Culture Connect supports its volunteers to develop their skills whilst also supporting them in their integration in the UK. Culture Connect and Culture Kitchen is entirely volunteer run and is always looking for people interested in getting involved."
21/11/2018,22/11/2018,,Dingy Butterflies CIC,,,http://www.dingybutterflies.org/,,Ben Jones,info@dingybutterflies.org,,Gateshead,"Creative social enterprise, working with artists, community groups, schools","Dingy Butterflies CIC is a social enterprise that works across Gateshead, developing high quality participatory art projects. By inviting local, national and international artists to work with residents and with local community and cultural organisations, we aim to increase creative engagement and participation within the community, develop and improve creative and digital skills, create pride amongst residents in the area and increase active engagement in local decision-making."
21/11/2018,,discussed with Hufty,Edible Elswick,NE4 6SQ,,https://www.edibleelswick.co.uk/,,Emma or Johurun,hello@edibleelswick.co.uk,0191 273 4942,"West End Women and Girls Centre, Stephenson Building, 173 Elswick Road",,"Edible Elswick is an exciting community project that’s been thriving since 2010. Based in the heart of the Elswick Ward, we’ve been working with lots of passionate residents who want to make a real difference to the places they work, play and live. Edible Elswick is well known and well respected by the community. This is because it tries to help increase pride in the local area, help communities get along better and support healthy lifestyles. We do this by providing opportunities for people living in Elswick to grow their own food and come together to learn, share and celebrate."
21/11/2018,,,Friends of Elswick Pool,NE4 6RS,,https://www.facebook.com/The-Friends-Of-Elswick-Pool-572260909578568/,,,,,"73 Beech Grove Rd, Newcastle upon Tyne",community led pool group,The Friends of Elswick Pool are a group of local residents working voluntarily to reopen the pool. We are a now a constituted not for profit organisation.
,,,English Language Conversation Group,,,,,,,,,and multi-lingual library,
21/11/2018,,,Fix-It Cafe,NE2 1BB,,https://www.facebook.com/fixitcafe/,,,noizeanoize@yahoo.co.uk,07855 314534,"Star & Shadow Cinema, Warwick Street","sustainability, repair, re-use and recycling",Fix don't throw! Share skills and learn - fix and mend over coffee and tea. All welcome!
,,,Freecycle Newcastle,,,https://groups.freecycle.org/group/NewcastleUK/posts/all,,(suggested by John Heywood),,,,,"The Freecycle Network™ is made up of 5,310 groups with 9,352,466 members around the world, and next door to you. It's a grassroots and entirely nonprofit movement of people who are giving (and getting) stuff for free in their own towns and neighborhoods. It's all about reuse and keeping good stuff out of landfills. Each local group is moderated by local volunteers (them's good people). Membership is free. To sign up, find your community by entering it into the search box above or by clicking on 'Browse Groups' above the search box. Have fun!"
21/11/2018,,,Fruitful Durham (Abundance Network),,,http://www.abundancenetwork.org.uk/groups/fruitful-durham ; https://www.facebook.com/FruitfulDurham/,,Rachel Kurtz (suggested by Alice Highet),info@fruitfuldurham.co.uk,,,,"A project to grow more fruit in County Durham - through trees, juice and education."
21/11/2018,22/11/2018,29/11/2018,George Street Social,NE4 7JN,,https://www.georgestreetsocial.co.uk/,,Mal,mal@roadtorecoverytrust.org.uk,0191 691 0252; 07500869525,"45-51 George St, Newcastle upon Tyne ",,"George Street Social is The Road To Recovery Trust's first major project. We’re a dynamic building with our priority being to create a safe place for people in recovery, as well as the wider community. Our coffee shop and dry bar is a social hub bustling with friendly faces and the best coffee in town. You’ll often find upstairs busy with meetings, workshops, training, yoga, dance, mindfulness or music."
,,,Ghost Lab,,,,,,,,,"memory and social haunting, ex-mining communities in East Durham",
,,,Green Party Newcastle upon Tyne,NE2 3AE,,https://newcastleupontyne.greenparty.org.uk/,,"Andrew Gray, Cllr. Nigel Todd",,,"20 Burdon Terrace, Jesmond",,
,,,Greening Wingrove,NE2 1QQ,,http://greeningwingrove.org.uk/,,"Nigel, Labour councillor; Oona… main volunteer",try facebook?,0191 2126100,"Joseph Cowen House, 21 Portland Terrace, Workers’ Educational Association, 21 Portland Terrace, Newcastle upon Tyne NE2 1QQ",greening urban spaces,"Greening Wingrove is all about bringing the community of the Wingrove Ward (Arthur’s Hill, parts of Fenham, Spital Tongues) and New Mills’ Estate, Newcastle upon Tyne, together to take pride in the area in which they live by helping to empower residents to bring about positive change that will continue into the future."
,,,Greggs Foundation,NE2 1TL,,https://www.greggsfoundation.org.uk/,,,getintouch@greggs.co.uk,0191 212 7626,"Greggs House, Fernwood, Clayton Road, Newcastle upon Tyne ","supports organisations be more sustainable, community chairs","The Greggs Foundation is a grant making charity which improves the quality of life in local communities, distributing around £3 million per year to charitable organisations throughout England, Scotland and Wales. The Foundation brings together all of Greggs’ charitable giving which has an extremely rich and long history. The Foundation supports people in need in the heart of our local communities. We prioritise organisations that support voluntary carers, people with disabilities, homeless people and older people. We aim to make a difference through the provision of our five main grant programmes, north east core funding grant, local community projects fund grant, environmental grant, hardship fund grant and breakfast clubs which all share the common goal of improving the quality of life of people in local communities."
21/11/2018,,,Holy Biscuit,NE2 1YH,,http://www.theholybiscuit.org/,,Alison Merritt-Smith,alison@theholybiscuit.org ,0191 447 6811,"1 Clarence St, Newcastle upon Tyne ",mental health arts centre,"Housed in a specially refurbished Methodist Church, Holy Biscuit is an arts organisation based in Shieldfield, Newcastle, operating on the intersection of contemporary art, theology and community activity. HB builds on the rich heritage of Methodism in the North East, by committing to social activism, creativity and theological reflection. Through our diverse programme we examine and wrestle with faith along with other social, political and cultural strands and themes and seek to live out our values by creating a hub of transformational creativity and a place of welcome, contemplation and discussion.  We seek to nurture an active and credible Christian presence within the arts by curating and supporting an engaging, high quality and challenging programme of exhibitions, workshops, meals, events, screenings, faith activities and discussions. HB works with people of all faiths and none – artists, schools, universities, charities, churches, community groups, artistic collectives and other partners – to deliver our vision through a variety of creative projects. We welcome collaborations with like-minded organisations or individuals."
,,,Homelessness drop-in (Changing Lives),NE1 2AF,,https://www.changing-lives.org.uk/services/housing-homelessness/,,,,0191 273 8891,"Crisis Skylight Newcastle, City House, 1-3 City Road, Newcastle upon Tyne",,"Changing Lives is a national, registered charity which provides specialist support for thousands of vulnerable people and their families."
21/11/2018,,,Junction 42,NE1 7BJ,,https://www.junction42.org/,,,info@junction42.org,0191 261 2684,"Brunswick Methodist Church, Brunswick Place, Newcastle Upon Tyne",support for (ex)offenders and people with addiction problems,"Junction 42 exists to see the lives of offenders and their communities visibly transformed. We create community, encourage independence and empower transformation in the lives of offenders and ex offenders, as well as in the lives of their family and friends. Junction 42 is a charity with a difference, making a difference. Our aim is simple; to offer support and hope to those who need it most. Junction 42 works with individuals in prison, through the gate and in the community across the North East of England and in the central belt of Scotland. We know that having a history of offending often creates additional barriers to social inclusion, employment and independence. Junction 42 exists to help people overcome these barriers, through employability and enterprise, creative engagement and faith."
21/11/2018,,,Kittwake Trust,NE1 7RN,,http://www.kittiwaketrust.org.uk,,,admin@kittiwaketrust.org.uk,0780 870 4307,"Eldon Garden Shopping Centre, 57 Percy St, Newcastle upon Tyne",,"The aims of the Kittiwake Trust are to enhance education in the broadest sense of the word – in this way we can develop new projects as the need arises, without needing to set up a new charity. We currently run all our projects in empty commercial properties which keeps costs manageable, but of course it means that we could need to move at any time.... so we live in a similar situation of uncertainty as many of the people we work to support."
,,,Lazy Stoat,,,,,,,,,"food composting, growing, foraging",
21/11/2018,,,Liberdade,NE3 3HD,,http://www.liberdade.co.uk/,,,info@liberdade.co.uk,0191 284 3700,"Gosforth Civic Theatre, Regent Farm Road, Newcastle upon tyne",Empowering special needs,"Liberdade is a Community Development Trust that works with people with learning disabilities and autism in the North East of England, we run a number of arts and social enterprises that enable you or those you care for to get involved with our organisation. Since 2003 we have worked with hundreds of different organisations delivering training, social enterprise support, creating films and workshops and have taken part in regional and national events representing the learning disabled community."
21/11/2018 online form,,,Living Woods North East CIC,NE17 7JY,,http://livingwoodsnortheast.org.uk/,,,,,"Registered Office : 5 South View, Chopwell, Tyne and Wear, NE17 7JY",reforesting,"Living Woods North East is a community interest company dedicated to the restoration, conservation and sustainable management of woodlands in the north east of England."
21/11/2018,,,Local Women Local Enterprise (The Millin Charity),NE4 9PQ,,http://www.themillincharity.co.uk/local-women-local-enterprise/,,Kirst Mcdine,admin@themillincharity.co.uk,0191 272 5115,"The Millin Charity, Ground Floor, The Beacon, Westgate Road, Newcastle upon Tyne",trading collective,"Local Women Local Enterprise was launched by The Millin Charity in 2014, following a successful 2 year pilot and consultation with hundreds of local women. The project responds to the increasing need for support which is specifically geared to the economic empowerment of women, to contribute to the development of stronger, more resilient communities. Local Women Local Enterprise has developed a reputation as a uniquely accessible learning and development programme that helps women who face barriers to mainstream employment to begin their journey towards financial independence."
21/11/2018,,,Love Your Lanes,NE4 9PQ,,http://www.themillincharity.co.uk/love-lanes-making-difference-west-end/,,,admin@themillincharity.co.uk,0191 272 5115,"The Millin Charity, Ground Floor, The Beacon, Westgate Road, Newcastle upon Tyne",food and culture project,"The project has involved The Millin Charity consulting with local people getting their ideas about how to improve the terraces area, then encouraging residents to get involved in making their ideas happen. People have really rolled their sleeves up and got in touch with their creative sides to make this a fantastic local project. Activities have included: Learning woodworking skills to transform old pallets into outside seats and benches; Making planters and learning about gardening, using recycled containers; Litter picking to clear rubbish from around the terraces; Painting gates and garage doors in back lanes to brighten up the area. This has been a great local initiative with lots of community involvement, providing plenty of opportunities for local residents and their families to work on a collective project while they make improvements to the place they live."
21/11/2018,22/11/2018,,Magic Hat Cafe,NE6 2DX,,https://www.themagichatcafe.co.uk/,,,info@themagichatcafe.co.uk,07522 358 058,"Byker Community Centre, Headlam St, Newcastle upon Tyne ",,"We’re in Byker every Friday 5.30-8pm running an anti-food waste pop-up cafe. All dishes are made from 100% surplus ingredients and served pay-as-you-feel! We run a full table service each week, plus take-away for those who want to come and collect some food rather than sitting in. Everyone is welcome to our cafe, in fact the more the merrier! We’re currently trialling how sustainable a regular cafe is in preparation for getting our own place so please come see us and show your support! Just like all of our events our regular cafe is pay-as-you-feel – pay what you want for the food, how you want! We accept donations of time, money and skills, or simply tell us what you thought! We’ve got the most eco-friendly dinner in town so come eat with us to help fight food waste! Good food and good vibes at Byker Community Centre, every Friday 5.30-8pm. Vegan and gluten-free catered for. Family friendly."
