Name,Postcode,Lat/Long,Web,Tags,Contact Person,Email,Phone,Address,Notes from post it,Description from website
Mindful Therapies Centre,NE16UF,,https://www.mindfultherapies.org.uk/,,,info@mindfultherapies.org.uk,,"Lower Ground Floor, 15 Carliol Square, Newcastle upon Tyne",,"Mindfulness is the art of focus, awareness and attention. We provide drop-in meditation classes, mindfulness training, counselling and coaching. We are a not-for-profit, which means that all income goes back into the community."
Chopwell Men's Shed CIC,NE17 7HS,,https://www.facebook.com/chopwellshed/,,,,,"Chopwell Community Centre, Derwent St, Chopwell, Newcastle upon Tyne",,"The Chopwell Men’s Shed was established in May of 2016. We meet Monday’s between 10:30 and 12:30. Some come for the conversation, others for the workshop. The Men’s Shed has a kitted out workshop where you can work on your own project, contribute to the various group projects or just enjoy a cuppa and a catch up with some like minded blokes."
Canny Little Library,NE2 1BB,,https://cannylittlelibrary.wordpress.com/,,,cannylittlelibrary@yahoo.co.uk,,,mobile radical library,"The Canny Little Library is a small collectively run library stocking radical, informative, alternative books, including sections on politics, global struggles, DIY, info for action, Queer, anarchism, feminism, workers’ struggles and more."
Albert Kennedy Trust,NE2 2AA,,https://www.akt.org.uk/,,,,0191 281 0099,"1 Osborne Road, Jesmond, Newcastle upon Tyne",LGBT charity that supports young people who are isolated or homeless,"WE ARE THE NATIONAL LGBTQ+ YOUTH HOMELESSNESS CHARITY; FOCUSED ON PREVENTION AND EARLY ACTION WE PROVIDE: SAFE HOMES, MENTORING, TRAINING, ADVOCACY AND SUPPORT TO YOUNG PEOPLE WHO ARE HOMELESS OR LIVING IN A HOSTILE ENVIRONMENT AFTER COMING OUT TO THEIR PARENTS, CARE GIVERS AND PEERS."
Ec-Architects,NE2 3AN,,http://www.ec-architects.net/ec-architects/home.html,,Armelle Tardiveau and Daniel Mallo (suggested by Ed Wainright),info@ec-architects.net,,Newcastle University?,community-led architecture,"Armelle Tardiveau and Daniel Mallo founded ec-architects in 2004 focusing primarily on architecture as an enabling tool: mobilising users in defining a brief and informing the design, as well as steering dialogue and social dynamics. The enabling philosophy also consists of working with time, and offering platforms that allow spatial flexibility and capacity for change. The practice is deeply engaged in material research and challenges the constraints of budget limitation as a creative opportunity to work with alternative, low-cost and off-the-shelf materials whilst promoting self-built construction methods and an environmentally embedded approach in the design process. "
CT Furniture Newcastle Blyth,NE24 5BS,,http://www.ctfurniture.org/newcastle/,,,,,"Unit 1A – 2A, Albion Retail Centre, Cowpen Road, Blyth",,"CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
Station Master's Community Wildlife Garden,NE26 2QT,,http://www.stationmastersgarden.org/,,,stationmastersgarden@gmail.com,,Whitley Bay Metro Station,,"The Station Master's Community Wildlife Garden is a not-for-profit community led initiative in Whitley Bay, Tyne and Wear. The garden offers an opportunity for people to join in and experience the journey of sourcing food and reconnecting with the natural environment. It is a space designed for inclusion. There are accessible raised beds for food demonstration and growing, children friendly beds and wild spaces for natural play, events areas and sites for biodiversity (for bees, slow worms etc). It provides creative opportunities and openings for all ages to join in, keep active and connected, and maybe make a new friend."
Hebburn Helps,NE31 1QY,,http://hebburnhelps.co.uk/,,,hebburnhelps@hotmail.com,0191 4899707,"South Tyneside Childrens Centre, Campbell Park Rd, Hebburn ","sharing, sourcing stuff people need, food bank, clothes bank","A Voluntary Community Organisation that was set up to help local families who are finding it hard and are struggling to make ends meet. We provide food parcels, adults clothing, kids clothing, baby equipment, toys, household items and more."
Groundwork South Tyneside and Newcastle,NE31 1SR,,https://www.groundwork.org.uk/sites/stan,,"Leigh Venus (Operations Manager, Culture/Heritage)",enquiries@groundwork-stan.org.uk,0191 4281144,"The Eco Centre, Windmill Way, Hebburn",community and environmental charity,"Groundwork South Tyneside & Newcastle helps people and organisations make changes in order to create better neighbourhoods, to build skills and job prospects and to live and work in a greener way. We know that the important issues are all connected – so our work can’t easily be placed in boxes marked 'environmental issues’, 'regeneration', 'employment' or 'health'. We create projects and services that benefit both people and the wider environment."
Angelou Centre,NE4 5NS,,http://angelou-centre.org.uk/,,,admin@angelou-centre.org.uk,0191 226 0394,"17 Brighton Grove, Newcastle upon Tyne",support centre for women of colour,The Angelou Centre is a black-led women’s centre based in the Newcastle upon Tyne. We offer a range of holistic women only services for Black and Minority Ethnic (BME) women across the North East region. As well as frontline support we also work at strategic and national levels ensuring the voices of BME women are represented and heard. We fully support women with disabilities and LBTQI women. The Angelou Centre is wheelchair accessible.
CT Furniture Newcastle West,NE4 6QA,,http://www.ctfurniture.org/newcastle/,,,,,"Unit 2 Mill Lane, Newcastle",,"CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
CT Furniture Newcastle East,NE6 1JR,,http://www.ctfurniture.org/newcastle/,,,,,"The Grand, Heaton Terrace. Newcastle","West, East and Blyth, second hand furniture","CT Furniture supports local communities by selling donated high quality, second-hand furniture and electrical equipment at affordable prices, to individuals & families across the West Midlands and in Newcastle."
Newcastle Wood Recycling Yard,NE6 2PA,,http://welovewood.org/,,,hello@welovewood.org,0191 265 4845,"The Wood Yard, Welbeck Road, Newcastle upon Tyne",CIC,"Newcastle Wood Recycling is a not-for-profit organisation set up to: Collect waste timber; Re-use waste timber; Create sustainable jobs and voluntary opportunities for local people; Provide affordable reclaimed timber, furniture & garden products to the community. Our aims are to divert as much wood as possible from the waste stream in the North East and in doing so, to create jobs, training and volunteering opportunities to people in the local community."
Byker Community Centre,NE6 5DX,,https://bykercommunity.squarespace.com,,,bykerca@yahoo.com,(0191) 265 5777,"153 Headlam Street, Byker, Newcastle Upon Tyne",,"We are a community association based in Byker Community Centre, since 1986 (although the building has been here since 1928) where we offer a multitude of activities and services, implemented by ourselves and in partnership with a variety of local and community organisations from all around the city. We have many adults and children with disabilities, who we provide activities for as well as training and volunteer opportunities."
Soundroom Community Project,NE8 1PH,,https://www.thesoundroom.org.uk/,,"Mark, Julianne Or Tom",,0191 4771116,"Redheugh Studios, Cuthbert Street, Teams, Gateshead","music recording studio, working with excluded young people","Here at The Soundroom we offer a wide range of sessions, projects and activities to give music related opportunities to people of all ages and abilities."
The Comfrey Project,NE8 1QB,,http://thecomfreyproject.org.uk/,,(suggested by Ben Jones),info@thecomfreyproject.org.uk,0191 447 7801,"Windmill Hills Centre, Chester Place, GATESHEAD","Asylum seekers/refugee org, using food/growing","The Comfrey Project provides refugees and people seeking asylum across Tyneside with a safe, welcoming environment, which promotes personal well-being through a sense of place and belonging. This is achieved by various shared creative crafts including allotment gardening, cooking and crafts. We have a down to earth approach to social integration and community health. Listening, sharing and inclusion are fundamental to everything we do."
Friends of Saltwell Park,NE9 5AX,,https://www.friendsofsaltwellpark.co.uk/,,(suggested by Ben Jones),,,"Saltwell Towers, Saltwell Park, Gateshead","bee keeping, connected to bee keeping association",We look to promote and protect the well being and enjoyment of the Park for the benefit of the local community.
Tyneside Beekeeping Association,NE9 6BR,,https://tynesidebeekeepers.wordpress.com/,,Barbara Keating (suggested by Ben Jones),chair.tynesidebees@gmail.com,,"St Helens Church Hall, Belle Vue Bank, Low Fell, Gateshead ",,"Tyneside Beekeepers is a friendly, open group of beekeepers based in the North East of England, around Newcastle and Gateshead. We are open to both beekeepers and those interested in bees.There are regular talks, demonstrations and training on beekeeping, gardening for honey bees and other pollinators, and hive produce processing."
Altered Eating Research Network,,,https://research.ncl.ac.uk/alteredeating/,,,sue.lewis@durham.ac.uk,,Newcastle University,ask Sue Lewis,"The Altered Eating Research Network. The Network formed in 2018 to address difficulties around food and eating in a comprehensive way and as a trans-diagnostic concern. Altered eating may be the result of disease, illness, life-course transitions and/or external contextual issues and may involve time-limted or chronic difficulties with food and eating - see our list of 'who has altered eating'. The Altered Eating Framework addresses the physical to the social and emotional consequences; and our team is developing a menu of interventions to address eating disruption (for example: smell and taste training, cooking workshops, coping tips and hints). The network also considers broader contexual issues that may result in Altered Eating difficulties from source to senses - including climate change impacts on the availability and cost of food, economic and social change, and the sensory experience of 'ultra-processed' foods. The AE Research Network is developing a public interface for the many people whose difficulties with food and eating are under-recognised and unsupported"
Anonymous for the Voiceless,,,https://www.anonymousforthevoiceless.org/ ;  https://www.facebook.com/groups/906661306176025,,"Leigh Venus, Community Leader",leighvenus@gmail.com,,Newcastle/Sunderland,social justice/animal liberation advocacy,"Anonymous for the Voiceless is an animal rights organisation that specializes in street activism. Through the use of local standard-practice footage, we expose the public to what they are intentionally hidden from when it comes to animal exploitation. Combining this with a value-based sales approach and resource literature, we fully equip the public with everything they need in switching to a vegan lifestyle. We hold an abolitionist stance on animal exploitation."
BIN?,,,,,,,,,,
Campaign for Climate Change,,,,,(suggested by Richard?),,,is this london based?,,
Carers,,,,,,,,,,
Cobalt Studios,,,,,Kathryn Hodgkinson,,,,has done some mapping,
COHUT: Co-Housing upon Tyne,,,,,,,,,community co-housing across Tyneside,
Councils for Voluntary Serivices,,,,,(suggested by Richard?),,,,,
Culture Kitchen,,,http://www.culturekitchen.org.uk/,,Sally Pilkington,info@culturekitchen.org.uk,,,"asylum seekers and refugees, brought together around food","Culture Kitchen in the Community has been designed to bring people from communities together to experience a culture different or perhaps new to them. The purpose is for our volunteers to get the opportunity to lead on high profile events and develop many skills through that process, but also importantly to have the chance to express and explain their cultures through food, whilst meeting people from the wider community. We want to give people from different communities the chance to meet with our volunteers, try their food, ask them questions and hopefully this all creates a shared understanding and respect in communities."
Dingy Butterflies CIC,,,http://www.dingybutterflies.org/,,Ben Jones,info@dingybutterflies.org,,Gateshead,"Creative social enterprise, working with artists, community groups, schools","Dingy Butterflies CIC is a social enterprise that works across Gateshead, developing high quality participatory art projects. By inviting local, national and international artists to work with residents and with local community and cultural organisations, we aim to increase creative engagement and participation within the community, develop and improve creative and digital skills, create pride amongst residents in the area and increase active engagement in local decision-making."
Edible Elswick,,,,,,,,"West End Womens & Girls Centre, Elswick",,
Elswick Pool,,,,,,,,Elswick,community led pool group,
English Language Conversation Group,,,,,,,,,and multi-lingual library,
Fix-It Cafe,,,,,,,,Star & Shadow Cinema,"sistainability, repair, re-use and recycling",
Freecycle Newcastle,,,,,(suggested by John Heywood),,,,,
Fruitful Durham,,,,,,,,,,
George Street Social,,,,,,,,,,
Ghost Lab,,,,,,,,,"memory and social haunting, ex-mining communities in East Durham",
Green Party Newcastle upon Tyne,,,https://newcastleupontyne.greenparty.org.uk/,,"Andrew Gray, Cllr. Nigel Todd",,,,,
Greening Wingrove,,,,,,,,,greening urban spaces,
Greening Wingrove,,,,,,,,,,
Greggs Foundation,,,,,,,,,"supports organisations be more sustainable, comunity chairs",
Holy Biscuit,,,,,,,,,mental health arts centre,
Homelessness drop-in (Changing Lives),,,,,,,,"Crisis Skylight Newcastle, City House, 1-3 City Road, Newcastle upon Tyne",,
Intoxicated Practices,,,,,"Ed Wainwright, Sam Austin",,,Newcastle University,"Architecture studio, capitalism and ??",
Jon Swords,,,https://www.northumbria.ac.uk/about-us/our-staff/s/jon-swords/,,(suggested by Ben Jones),,,"Geography and Environmental Sciences, Northumbria University",,"Jon’s research focuses on two broad areas: the creative and cultural industries, and visual methodologies. He recently completed a project examining the evolution of film and television production in North East England. Using a mixed methods approach including social network analysis, archival research and interviews, Jon traced the growth and success of the region’s TV in the 1980s and 1990s, the impact of Hollywood coming to the North East, and the more recent decline of production in the region to something akin to a branch plant site for programming originated elsewhere. This work contributes to debates about creative industry growth narratives, and evolutionary ideas within economic geography. Jon’s interest in visual methodologies comes in the form of his own use of infographics to communicate economic issues, and using participatory mapping to uncover narratives about the city. Since 2010 Jon has been working with Mike Jeffries (Department of Geography) and Sebastian Messer (Department of Architecture and Built Environment) to understand how skaterboarders, freerunners and other urban sportists appropriate and re-make the city."
Junction 42,,,,,,,,,support for (ex)offenders and people with addictio problems,
Kittwake Trust,,,,,,,,,,
Lazy Stoat,,,,,,,,,"food composting, growing, foraging",
Liberdades,,,,,,,,Gosforth Civic Theatre,Empowering special needs,
Living Woods NE,,,,,,,,,reforesting,
Local Women Local Enterprise?,,,,,Kirst Mcdine,,,Westgate Road,trading collective,
Love Your Lanes,,,,,,,,West Newcastle,food and culture project,
Magic Hat Cafe,,,,,,,,,,
Meditation Centre,,,,,,,,Westgate Road,"accesible to all, very diverse",
Minimalists Newcastle,,,,,"Leigh Venus, Community Leader",leighvenus@gmail.com,,,"local meetup group 'living better with less', meet at Ernest",
My Sister's Place,,,,,,,,Middlesbrough,,
National Glass Centre,,,,,,,,,using glass to offer workshops to community groups especially Creative Age around dementia,
Needle Exchange,,,,,,,,Clayton Street,,
Newcastle Food Co-op,,,http://nclfoodcoop.tumblr.com/about-us,,Jo Herbert,ncl.foodcoop@hotmail.co.uk,,Newcastle University,small student co-op selling food not-for-profit to students and the public,"Newcastle Food Co-op was set up by a group of students to provide ethical food and an alternative social hub. It isn’t exclusive to students, so everyone is welcome. The co-op is based in Newcastle Students’ Union (for now!). We are a non-hierarchical, not-for-profit store run by volunteers. This makes it cheap too! All of our members have an equal say in what we do, so everyone can put forward their ideas. We mainly sell wholefoods from Suma, but we’re looking into working an allotment to grow our own veg."
Newcastle Volunteer Centre,,,,,karen.watson@volunteeringmatters.org.uk,,,,,
North East Animal Save,,,,,,,,,social justice/animal advocacy,
North Frontrunners,,,,,,,,,LGBT based running club,
Open Clasp,,,,,,,,,,
Our Gateshead,,,,,(suggested by John Heywood),,,,"website of voluntary organisations, lots published data",
"Peddling Hope, Nunsmoor Bike Garden",,,,,Natalie Judson,,,Nunsmoor Park,,
Permaculture mailing list,,,,,,,,,,
Pickle Palace,,,,,,,,"Greenside and Chopwell, Gateshead",waste food markets,
Pont Valley Action Network,,,,,,,,,,
Rachel Armstrong,,,,,(suggested by Ed Wainright),,,Newcastle University,future ecologies,
Recyke-yer-Bike,,,,,,,,Byker,bike recycling,
Redhills Durham,,,,,,,,,"education and arts, working class culture",
Samosa Sisters,,,,,,,,,,
Scotswood Community Centre,,,,,,,,,"time bank, cross generation",
Scotswood Community Garden,,,,,Sean Casey,,,,Outdoor education work with young people with learning difficulties,
Sexuality Support Group for young women?,,,,,,,,,,
Star & Shadow Cinema,,,,,,,,,conversation room  fro asylum seekers,
Steve Graham,,,,,,,,Newcastle University,"capitalism, urbanism",
Stomping Ground Forest School,,,,,,,,"Chopwell, Gateshead",for young people who don't engage with normal education.,
Suma food groups,,,,,,,,,informal,
Summerhill Housing Co-op,,,,,,,,,,
Sustrans,,,,,,,,"Newbridge Street, Newcastle",,
The 4 C's (Climate Change Community Champions),,,,,(suggested by Ben Jones),,,West End,environmental food org,
The Blaydon Shed,,,,,,,,,"part of men's shed movement, private councilling",
The Culture Kitchen,,,,,,,,,,
The Journey,,,,,,,,,cycle cafe,
The Millin Charity,,,,,(suggested by Richard Chair),,,West End,women and enterprise charity,
Ugly Duckling,,,,,,,,,,
Urbanistas,,,,,,,,,,
We Are Our Media,,,,,"Andrew Wilson, Jessie Jacobs",,,,The Eclipse newspaper,
WEA,,,,,,,,Joseph Karen House,,
Weigh-House,,,,,,,,Grainger Market,"market stall, unpackaged food",
West End Womens and Girls Centre,,,,,Hufty,,,,"made in Elswick, community bakery, allotment, work with two communities bangladeshi and white working class bringing both together",
Zero Waste North East,,,https://www.facebook.com/groups/658990024490942/,,"Hannah Wotherspoon, Sarah Jamieson",,,,,"Dedicated to the process of leading a zero waste life in Newcastle, Gateshead and the surrounding areas. From handy tips and hacks, to useful articles, repurposing, recycling, recipes and gardening help we're all here to help."
,,,,,Martine Horner/Morner,,,South Shields,school uniform sharing program,
,,,,,(suggested by John Heywood),,,,,
