Identifier,Name,Description,Legal Forms,Street Address,Locality,Region,Postcode,Country Name,Website,Companies House Number,IgnoredLat,IgnoredLong,Geo Container,Latitude,Longitide
ceramics,Ceramics Studio Coop,,Cooperative,,,,SE14 5RW,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE145RW,51.483082,-0.045632
cetis,Cetis LLP,,Cooperative,,,,LA2 6ND,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA26ND,54.075893,-2.755807
cets,Co operative Education Trust Scotland,,Cooperative,,,,ML1 5GH,,http://cets.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/ML15GH,55.832865,-3.932082
cew,Community Energy Warwickshire Limited,,Cooperative,,,,CV37 7LR,,http://www.cew.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CV377LR,52.184811,-1.699864
change,Work For Change Ltd.,,Cooperative,,,,M21 8UP,,https://change.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M218UP,53.441827,-2.273878
changeagents,Change AGEnts Network UK Ltd,,Cooperative,,,,E1 5NF,,https://changeagents.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E15NF,51.517779,-0.066978
channelislands,Channel Islands Co-operative Society,,Cooperative,,,,JE2 4TR,,https://www.channelislands.coop/,,,,,,
chapelstreetstudio,Chapel Street Studio,,Cooperative,,,,BD1 5DT,,http://chapelstreetstudio.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BD15DT,53.794426,-1.745371
chelmsfordstar,Chelmsford Star Co operative Society Limited,,Cooperative,,,,CM2 OLS,,https://www.chelmsfordstar.coop/,,,,,,
chip,CHIP,,Cooperative,,,,SR2 8AH,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR28AH,54.901455,-1.373241
chocolate,Divine Chocolate Ltd.,,Cooperative,,,,SE1 2NE,,http://www.divinechocolate.com/uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SE12NE,51.502492,-0.073576
chriscooper,Cheiron Learning,,Cooperative,,,,WR2 6AF,,http://chriscooper.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/WR26AF,52.196767,-2.245818
cim,CIS General Insurance Limited,,Cooperative,,,,M60 0AL,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AL,53.487203,-2.239674
citydesign,City Design Co operative Ltd,,Cooperative,,,,G1 2DP,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G12DP,55.860703,-4.252473
clevedoncommunitybookshop,Clevedon Community Bookshop Co-operative Ltd,,Cooperative,,,,BS21 7QN,,https://www.clevedoncommunitybookshop.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS217QN,51.441230,-2.860455
clockwise,Clockwise Credit Union Ltd,,Cooperative,,,,LE1 5LB,,https://www.clockwise.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LE15LB,52.634943,-1.138194
cms,Co operative and Mutual Solutions,,Cooperative,,,,CA15 8BF,,http://cms.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CA158BF,54.713960,-3.502803
co-opcollege,Co operative College,,Cooperative,,,,M60 0AS,,https://www.co-op.ac.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AS,53.486430,-2.239353
co-operation,Tower Hamlets Co-operative Development Agency,,Cooperative,,,,E1 5NF,,http://co-operation.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E15NF,51.517779,-0.066978
co-operative,The Co-operative Group,,Cooperative,,,,M60 0AG,,https://www.co-operative.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AG,53.488061,-2.237449
co-operativecreditunion,The Co-operative Credit Union,,Cooperative,,,,M60 4EP,,https://www.co-operativecreditunion.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M604EP,53.487362,-2.227212
co-operativeschools,The Schools Co-operative Society,,Cooperative,,,,HR6 8DE,,http://co-operativeschools.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HR68DE,52.227856,-2.740450
co-working,The Co-working Co-operative CIC,,Cooperative,,,,S1 2JP,,https://www.co-working.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S12JP,53.378401,-1.470737
cobnuts,Cobnuts Co-op,,Cooperative,,,,CO7 0BZ,,http://www.cobnuts.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CO70BZ,51.810033,1.025669
cochabamba,Cochabamba Project Limited,,Cooperative,,,,S7 2NJ,,http://www.arbolivia.org.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S72NJ,53.344603,-1.504306
cocreate,Cocreate Co-operative Ltd.,,Cooperative,,,,E7 0PZ,,http://cocreate.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E70PZ,51.548668,0.033045
communityenergybirmingham,CoRE50,,Cooperative,,,,B12 8NJ,,http://www.communityenergybirmingham.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B128NJ,52.456359,-1.881785
communitypowercooperative,Community Power Co-operative,,Cooperative,,,,TR1 2SJ,,http://communitypowercooperative.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TR12SJ,50.263671,-5.054136
communitypowercornwall,Neil Farrington,,Cooperative,,,,TR1 2SJ,,http://communitypowercornwall.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TR12SJ,50.263671,-5.054136
consultancy,Consultancy Coop,,Cooperative,,,,CF14 2TH,,http://www.consultancy.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CF142TH,51.513252,-3.235011
coopalternatives,Cooperative Alternative,,Cooperative,,,,BT15 2GG,,http://www.coopalternatives.coop/,,,,,,
coopbankinggroup,The Co-operative Bank p.l.c.,,Cooperative,,,,M9 0WQ,,http://coopbankinggroup.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M90WQ,53.529679,-2.222490
cooperantics,Somerset Co-operative Services,,Cooperative,,,,BS3 5QS,,http://www.cooperantics.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS35QS,51.431826,-2.600644
cooperativeinsurance,Co operative Financial Services Ltd.,,Cooperative,,,,M60 0AL,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M600AL,53.487203,-2.239674
cooperativerenewables,Co-operative Renewables Limited,,Cooperative,,,,OX7 5XL,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX75XL,51.943976,-1.553942
cooperatives-east,Co-operatives East,,Cooperative,,,,NR3 3UE,,http://www.cooperatives-east.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NR33UE,52.651808,1.281782
cooperatives-em,Co-operatives East Midlands,,Cooperative,,,,LN6 3NX,,http://cooperatives-em.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LN63NX,53.206539,-0.608041
cooperatives-se,Co-operatives South East,,Cooperative,,,,GL1  4DF,,http://cooperatives-se.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/GL14DF,51.858155,-2.230636
cooperatives-sw,Co-operatives South West Limited,,Cooperative,,,,BS2 8QN,,http://www.cooperatives-sw.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS28QN,51.460895,-2.588431
cooperatives-wales,Co-operatives and Mutuals Wales,,Cooperative,,,,CF14 2TH,,http://www.cooperatives-wales.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CF142TH,51.513252,-3.235011
cooperatives-wm,Co-operatives West Midlands,,Cooperative,,,,B12 9LQ,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/B129LQ,52.459419,-1.894743
cooperatives-yh,Co-operatives Yorkshire and the Humber Limited,,Cooperative,,,,S3 8GG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S38GG,53.387518,-1.465392
cooperativewomensguild,Co-operative Women's Guild,,Cooperative,,,,BN44 3HP,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN443HP,50.884553,-0.304754
coophomes,Co op Homes (South) Ltd,,Cooperative,,,,TW11 8GT,,https://www.coophomes.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TW118GT,51.428194,-0.334671
cornwall,Social Economy & Co-operative Development Cornwall,,Cooperative,,,,TR1 1SL,,https://kernowkabin.wordpress.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/TR11SL,50.244931,-5.024657
corporatecritic,Ethical Consumer,,Cooperative,,,,M15 5RF,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M155RF,53.465469,-2.248348
councils,Co-operative Councils' Innovation Network,,Cooperative,,,,OL1 1UL,,http://www.councils.coop/,,,,,,
cpda,Cumbria Personal Development Associates Ltd,,Cooperative,,,,LA12 0RG,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA120RG,54.096432,-3.144639
creative,The Creative Coop,,Cooperative,,,,CO1 1PA,,https://creative.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CO11PA,51.890011,0.895835
credit-union,Credit Union,,Cooperative,,,,N19 3RQ,,https://www.credit-union.coop/index.asp,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N193RQ,51.569980,-0.129065
credituniongovernance,Association of British Credit Unions Limited,,Cooperative,,,,M60 OAS,,,,,,,,
csnetwork,CS Network,,Cooperative,,,,CT20 1SJ,,http://csnetwork.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CT201SJ,51.080225,1.182981
cultural,Cultural Cooperatives,,Cooperative,,,,N8 7DA,,http://cultural.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/N87DA,51.585903,-0.116502
culture,Co-op Culture,,Cooperative,,,,HX7 7NW,,https://culture.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HX77NW,53.750159,-2.020784
cus,Credit Union Solutions,,Cooperative,,,,UB3 1PE,,http://www.cus.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/UB31PE,51.497473,-0.437373
cuso-uk,Southampton Cooperative City,,Cooperative,,,,BH23 7NH,,http://www.cuso-uk.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BH237NH,50.745393,-1.767888
cyf,Carreg Y Fedwen Cyf.,,Cooperative,,,,LL57 4RP,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LL574RP,53.180726,-4.102535
dailybread,Daily Bread Co-operative Ltd,,Cooperative,,,,NN4 7AD,,https://dailybread.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NN47AD,52.232455,-0.873230
dalefarm,Dale Farm CoOp,,Cooperative,,,,BT3 9LS,,,,,,,,
datrys,Datrys Consulting Engineers Ltd,,Cooperative,,,,LL55 1SW,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LL551SW,53.141164,-4.277666
delta-t,Delta T Devices Ltd,,Cooperative,,,,CB25 0EJ,,https://delta-t.co.uk/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/CB250EJ,52.277335,0.322830
directory,ICASS,,Cooperative,,,,OX4 1JE,,http://directory.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX41JE,51.748316,-1.239064
domains,Domains.coop Limited,,Cooperative,,,,OX4 1JE,,https://domains.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX41JE,51.748316,-1.239064
drumlin,Drumlin Wind Energy Co-operative Limited,,Cooperative,,,,LA14 2PN,,http://www.drumlin.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
dynamix,Dynamix,,Cooperative,,,,SA1 2AY,,http://dynamix.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA12AY,51.633934,-3.942384
earth,LocalEyes Ltd,,Cooperative,,,,SA1 1NW,,http://earth.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA11NW,51.623216,-3.941796
eastofengland,East Of England Cooperative Society,,Cooperative,,,,IP9 2BJ,,https://www.eastofengland.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/IP92BJ,52.022356,1.144878
ecologicalland,Ecological Land Cooperative,,Cooperative,,,,BN7 2PE,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BN72PE,50.877973,0.010069
edinburghbicycle,Edinburgh Bicycle,,Cooperative,,,,EH9 1DU,,https://www.edinburghbicycle.com/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/EH91DU,55.937755,-3.202940
edinburghsolar,Edinburgh Solar Co-op,,Cooperative,,,,LA14 2PN,,http://www.edinburghsolar.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
egni,Egni Cydweithredol Cyfyngedig,,Cooperative,,,,SA9 2GN,,http://egni.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA92GN,51.800904,-3.820471
eip,Evidence In Practice LLP,,Cooperative,,,,HR9 7RY,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HR97RY,51.926138,-2.497036
elm,Eco Land Management LLP,,Cooperative,,,,PL18 9JL,,http://elm.coop/index.html,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PL189JL,50.523702,-4.212158
empower,Community Empowerment Limited,,Cooperative,,,,PO1 1BU,,http://empower.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PO11BU,50.800862,-1.090184
empowerus,Co-operative Admin Solutions CIC,,Cooperative,,,,PO1 1BU,,http://empowerus.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PO11BU,50.800862,-1.090184
energyforeducation,Energy for Education Co-operative,,Cooperative,,,,PO21 4XB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/PO214XB,50.769982,-0.736109
energyprospects,Energy Prospects Co-op Limited,,Cooperative,,,,LA14 2PN,,https://www.energyprospects.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
equalcare,Equal Care Co-op,,Cooperative,,,,HX7 8AH,,https://equalcare.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HX78AH,53.741190,-2.011379
ercu,East Renfrewshire Credit Union Ltd.,,Cooperative,,,,G78 2RN,,https://www.pioneercu.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/G782RN,55.802906,-4.382997
essentialtrading,Essential Trading Co op Ltd,,Cooperative,,,,BS16 3JB,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/BS163JB,51.475533,-2.535935
etc,Eco Thames Co-operative,,Cooperative,,,,E1 1LX,,http://www.etc.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/E11LX,51.513155,-0.066885
failsworth,Co Op Academy Failsworth,,Cooperative,,,,M359HA,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M359HA,53.507677,-2.146337
fairshares,FairShares Association,,Cooperative,,,,S36 6UF,,http://www.fairshares.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/S366UF,53.519454,-1.629561
fairtrader,The Fair Traders Cooperative Ltd,,Cooperative,,,,HD9 2JS,,https://fairtrader.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HD92JS,53.569143,-1.789638
fens,Fenland Green Power Co-op Ltd,,Cooperative,,,,LA14 2PN,,http://www.fens.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
fieldtoforkorganics,Field to Fork Organics Co-operative Limited,,Cooperative,,,,NW2 1RE,,http://fieldtoforkorganics.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/NW21RE,51.560297,-0.211638
fish,Coastal Producer Organisation,,Cooperative,,,,HR9 7RY,,https://fish.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/HR97RY,51.926138,-2.497036
fourwinds,Four Winds Energy Co-operative Limited,,Cooperative,,,,LA14 2PN,,http://www.fourwinds.coop/,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/LA142PN,54.118489,-3.241650
fromfarm2fork,Co-operative Group Limited,,Cooperative,,,,M60 4ES,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/M604ES,53.487212,-2.239674
