Company,,,,,Website,Address,Details
Whitehills Community Centre,,,,,http://www.thewhitehillscentre.co.uk,"The Whitehills Centre
Whitehills Drive
Whitehills
Gateshead
Newcastle
NE10 8XU","Whitehills Community Centre was built by the Warriors Community Project who are responsible for the growth and development of this newly formed community centre in the Whitehills, Windy Nook and High Heworth area."
Gateshead Arts Association,,,,,,,
CUMBRIC,,,,,http://www.cumbric.co.uk/,"Springwell Art Gallery
Springwell community centre
Lanchester Avenue
Gateshead
Tyne and Wear
NE9 7AL","Cumbric is based at springwell community centre, we have been up and running now since January 2016, We are an accredited training centre, and have opened an Art gallery in December 2016, with more art events coming up in 2017.
"
Arts / Cultural Organisations,,,,,,,
GEM Arts,,,,,http://www.gemarts.org,"GemArts
Old Town Hall
Gateshead
Tyne and Wear
NE8 1HE","GemArts is a dynamic arts development organisation - we profile and programme innovative and exciting culturally diverse arts, by creating and developing high quality concerts, events, festivals, workshops and commissions with regional, national and international artists across all art forms."
Gateway Studio Project,,,,,http://www.gatewaystudioproject.co.uk,,"Gateway Studio Project, GSP is a community organization that provides a range of dance provision for ages 4 to senior adults. We deliver in, Community, Education and Professional settings."
Shipley Art Gallery,,,,,https://shipleyartgallery.org.uk,"Shipley Art Gallery
Prince Consort Rd
NE8 4JB","Over the last 25 years the venue has become established as a national centre for contemporary craft and has built up one of the best collections outside London, including ceramics, wood, metal, glass, textiles and furniture.
The Shipley Art Gallery has five elegant gallery spaces, showing a combination of collections and temporary exhibitions. It also holds a range of events including family activities and gallery talks"
Thought Foundation,,,,,http://www.thoughtfoundation.co.uk,"Thought Foundation
Clarity House
Durham Road
Birtley
Gateshead
Dh32TB","Thought Foundation (community interest company) is a thoughtful arts and cultural space, to inspire, promote and support. We are situated in the heart of Birtley, Gateshead.

"
Unfolding Theatre,,,,,http://www.unfoldingtheatre.co.uk,"Arch 6
Stepney Bank
Newcastle upon Tyne
NE1 2NP","We make theatre with a wild sense of humour, strength of character and a delight in bringing people together"
Support for wellbeing and mental health,,,,,,,
Bill Quay Arts Studio CiC,,,,,,"Bill Quay Arts Studio CiC
Methodist Church
Station Road
Bill quay
NE10 0UD","Bill Quay Arts Studio is an arts and wellbeing workshop aimed at individuals with mental health problems, learning disability and anyone who wishes to improve their wellbeing by developing their creative skills."
Support for substance misuse,,,,,,,
NERAF (Northern Engagement into Recovery from Addiction Foundation),,,,,http://www.neraf.org,"Trinity Centre
Gateshead High Street
Gateshead
NE8 1EP","Our dedicated Family Support Workers, Recovery Coaches, Volunteers and Peers have the skills to support you reducing your substance misuse and supporting you as a family or loved one caring for someone with an addiction."
ADVANCE,,,,,https://www.ourgateshead.org/advance,,"Advance are a group providing support to individuals who may otherwise become isolated from the rest of the community. Although our group is inclusive and open to all, at the moment it is mainly made up of men who have previously accessed other services from statutory and voluntary agencies in the way of drug, alcohol and mental health services. We plan to target the 'hard to reach' audience within this area of high deprivation."
Older groups,,,,,,,
Active Age North East,,,,,,,"An active group of approx. 190 over 50s who take part in walks, theatre, cultural activities and social outings. We encourage members to remain as active as possible to maintain health and fitness. "
Age UK Gateshead,,,,,http://www.ageukgateshead.org.uk,"Age UK Gateshead
341 - 343 High Street
Gateshead
NE8 1EQ","Delivering a range of high quality person centred services, focused on reducing social isolation, maximising income, enabling independent living and promoting physical health and emotional wellbeing. "
Anchor Northboure Care,,,,,,"northbourne care home
durham road
low fell
gateshead
tyne and wear
ne9 5ar","Anchor's Northbourne in Low Fell is a trusted provider of residential care for elderly people, and we offer specialised services for elderly people who have dementia and physical disability.  "
Alzheimer's Society - Gateshead,,,,,http://www.alzheimers.org.uk,"St Chads Community Centre
21 Liddell Terrace
Gateshead
Tyne and Wear
NE8 1YN","The Branch provides advice, information & support for people with dementia, their carers and professionals working in the field of dementia care in Gateshead.
Services include: advocacy for people with dementia, carer support service & respite care service.(The sitting service). We also run carers groups and groups for people with dementia."
Equal arts,,,,,http://www.equalarts.org.uk,,"We are a leading creative ageing charity supporting older people in Newcastle, Gateshead and across the UK."
Live Well,,,,,https://twmuseums.org.uk/,"Tyne & Wear Archives & Museums
Discovery Museum
Blandford Square
Newcastle upon Tyne
Tyne & Wear
NE1 4JA","Live Well TWAM is Tyne & Wear Archives & Museums culture and heritage programme of inspiring activities and experiences for people aged over 50 to promote health and wellbeing. The project welcomes people who are over 50 and interested in finding out more about museums and culture but find it difficult to do so. Whether they are active and independent, need support or anywhere in between."
Autie Mate,,,,,,"Gateshead Clubhouse
Worcester Green
Gateshead
NE8 1NH","An adult autism friendship group. This is a  peer led support group for adults on the high end of the spectrum.
"
Children,,,,,,,
Action for Children - Gateshead,,,,,,"Carers Trust Tyne & Wear
The Old School
Smailes Lane
Highfield
Tyne & Wear
NE39 2DB","Action for Children is a charity that supports and speaks out for the UK’s most vulnerable and neglected children and young people, for as long as it takes to transform their lives. We work directly with more than 250,000 children, young people, parents and carers each year and run more than 650 services across the UK."
Cedars School,,,,,,,
Cedars School Youth Group,,,,,,,
Artventures,,,,,http://www.artventurers.co.uk/,"Lobley Hill Community Centre
47-49 Scafell Gardens
Gateshead
Tyne & Wear
NE11 9LS","ARTventurers have been running award-winning art classes for babies, toddlers and children since 2011 and every week hundreds of children join in with our unique brand of colourful, creative (often messy!) fun across the UK!"
Bravo Performance,,,,,http://www.bravoperformance.weebly.com/,"Bravo Performance
NE40 3LU
Ryton
Gateshead
TYNE AND WEAR
ne403lu","Bravo Performance is a fun, imaginative environment which uses drama, dance and more to help children’s confidence flourish. We run Drama and Dance Classes for 3-11 year olds in venues throughout the North East.
"
After Adoption,,,,,northeast@afteradoption.org.uk,"After Adoption
Unit 209, Design Works
William Street
Felling, Gateshead
NE10 0JP","Aims/Objectives:  Independent post adoption services to anyone whose lives are affected by adoption.  Groups, presentations etc. relating to adoption. "
Food / Growing / Farm,,,,,,,
Alive lunch,,,,,,"Alive Lunch Club
St Chads Church
Westminster Street
Gateshead
NE8 4QL","Lunch provided to guests - who are members - on Thursdays. Volunteer staff.
Brings people together to socialise and share a meal. Hugely beneficial to those who take part and much appreciated."
Allotments Association - Whickham and District,,,,,,,
Bill Quay Community Farm,,,,,http://www.billquayfarm.org.uk,"Bill Quay Community Farm
Hainingwood Terrace
NE10 0UE",
The Comfrey Project,,,,,http://www.thecomfreyproject.org.uk,"Windmill Hills Centre
Chester Place
GATESHEAD
Tyne and Wear
NE8 1QB","Aims/Objectives:  To promote health and well-being amongst asylum seekers and refugees through group based horticultural activities on allotments.  Provide space for project users to relax, feel respected and listened to.  Year round activities andemotional support. "
Groundwork North East,,,,,https://www.groundwork.org.uk/sites/northeast,"6 Norfolk Street
Sunderland
SR1 1EA","Groundwork North East is an environmental organisation and a registered charity operating locally. We offer a portfolio of programmes and activities focused around the environment.  Groundwork North East helps people and organisations make changes in order to create better neighbourhoods, to build skills and job prospects, and to live and work in a greener way"
North of England Rosecarpe Horticultural Society,,,,,http://www.rosecarpe.8k.com,,"Monthly meetings held at Gateshead Civic Centre 1st Monday of month (except for Bank Holidays, then 2nd Monday) at 7pm. Variety of speakers, visitors welcome. Summer show at Gateshead."
The Saltmarsh Garden Dunston,,,,,http://www.gateshead.gov.uk/Leisure%20and%20Culture/countryside/sites/The-Saltmarsh-Garden.aspx,"Spatial Planning and Environment
Communities and Environment
Communities and Environment
Gateshead
NE11 9DR","Wildlife, events and activities at and around the Saltmarsh Garden in Dunston."
Whickham Hermitage Community Garden,,,,,http://www.whickhamhermitagegarden.co.uk,"Behind Whickham Community Centre
Hermitage Lane
off Front Street
Whickham
Tyne and Wear
NE16 4JL","Whickham Hermitage Community Garden is an award-winning Victorian walled garden, providing an oasis in the heart of a bustling village.  It's been lovingly restored and renewed by dedicated volunteers and experts"
The Whinnies Community Gardens,,,,,,"The Whinnies Community Gardens
Gateshead Road, Sunniside
Gateshead
Tyne and wear
NE16 5LG","S.I.G.N (Social Inclusion Gardening Network), renamed The Whinnies Community Gardens,  is a project for people of all ages with mental and physical disabilities, providing leisure and gardening activities and the opportunity of meeting others who share an interest in gardening/leisure activities, but most of all, having fun!!
Please contact Sandra/Chris on 07922 833314, 07530 849329 or our Facebook page. Open to general public first Saturday of month and every Wednesday 1 to 4.00pm. Groups by arrangement."
Traidcraft,,,,,,"Kingsway Team Valley
Gateshead
NE11 0NE","The UK's leading social enterprise organisation, Traidcraft makes trade work for the poor by helping small producers in the developing world market sell their goods, by lobbying for ethical business practices in the UK and abroad, and by encouraging UK consumers to support fair and ethical trading. 
"
Newspaper,,,,,,,
Alreet,,,,,,"BASE / ‘Alreet’
c/o 21 Liddell Terrace
NE8 1YN.","Welcome to 'Alreet', Lobley Hill's own new free newspaper! Alreet is 'by', 'for' and 'about' local people. We are keen to hear from anybody in the area, whether they study, work, live or even pass through Lobley Hill. We welcome stories, articles, photographs - in fact, whatever you may want to say about life and living in Lobley Hill. Please contact us on the addresses below."
,,,,,,,
Community groups / centres (also to put leaflets / posters),,,,,,,
Barley Mow Village Hall,,,,,,"Bedford Avenue
Birtley
Tyne & Wear
DH3 2AJ",Offers community based social & educational opportunities for people of all ages from the Birtley/Barley Mow area.
Barmoor Hub,,,,,http://barmoorhub.weebly.com,"Barmoor Hub
Barmoor
Ryton
Tyne and Wear
NE40 3AG","The Centre serves the community within the West of Gateshead particularly Ryton, Crawcrook, Clara Vale, Greenside and Stella."
Birtley Community Association,,,,,https://www.ourgateshead.org/birtley-community-association,"Ravensworth Road
Birtley
DH3 1EN","The Centre Caters for the Recreational, Educational and Social needs of the Local Community. 
There is a varied range of groups that meet at the Centre these include-:"
Bensham and Saltwell Alive,,,,,http://www.facebook.com/pages/Bensham-and-Saltwell-Alive/177767642236775 ,"c/o St. Chad's Community Project
21 Liddell Terrace
NE8 1YN"," vvis an initiative that has two key aims.  
- The first is to highlight the wide variety of interests, gifts and talents that every resident in the neighbourhood has, whatever their age and background.  
- The second is to give residents a chance to share these skills, help each other, and perhaps set up new groups or even to set up charities or businesses."
Bensham Grove Communtiy Centre,,,,,http://www.benshamgrove.org.uk,"Bensham Grove Community Centre
Sidney Grove
Gateshead
NE8 2XD","The Centre has been a Community Centre for the people of Bensham for more than 90 years and has all of the usual community groups such as, Parent and Toddlers, Childrens Dance school, Karate Club, Womens Groups special interest groups like; local history, walking, pottery, needlework and lots more. The people who attend the Centre tend to be reflective of the local community and there are groups to be found for a diverse range of ethnic groups and interests."
The Bede Centre,,,,,http://www.bedecentre.org.uk/,"The Bede Centre
Old Fold Road
Gateshead
Tyne & Wear
NE10 0DJ","The Bede Centre is positioned on the same site as Bede Community Primary School. The centre attracts local people from within the Bridges and Felling Council Wards of Gateshead which includes the Old Fold Estate, Nest Estate, and Sunderland Road areas of East Gateshead."
Brandling community Centre,,,,,http://brandlingcommunitycentre.org.uk,"Brandling Community Centre
Brandling Hall
Gateshead
NE10 0HT","We offer something for all ages, Lift- off for over 55's, three evening youth work sessions and regular out of school family activities.Come along and try what we have to offer."
Chopwell Community Centre,,,,,http://www.chopwellcommunitycentre.co.uk,"Chopwell Community Centre
Derwent Street
Chopwell
Newcastle Upon Tyne
NE17 7HS",Chopwell Community Centre is at the heart of Chopwell village.  This is an ex mining village in semi rural location on the outskirts of the West of Gateshead.
Dunston community Centre,,,,,,"Dunston Community Centre
Collingwood Terrace
Gateshead
Tyne and Wear
NE11 9DU",Communtiy cntre - have an art group
Disability,,,,,,,
Arcadea,,,,,http://www.arcadea.org,"Mea House
Ellison Place
NE1 8XS","At Arcadea (formerley Northern Disability Arts Forum) we work to create equality of opportunity in arts and culture for disabled people in the North East of England. We do this by supporting and promoting the work of disabled artists, by enabling and facilitating disabled people to access all aspects of the arts, by assisting cultural venues to become inclusive and by presenting a programme of arts and cultural activity."
Gateshead and District Disabled and Ex-Service Men's Association Club and Institute Limited,,,,,,"2a Bewick Road, Gateshead, NE8 4DP",
Support for men,,,,,,,
The Blaydon Shed,,,,,www.blaydonshedswapstation.wordpress.com,"The Blaydon Shed
Basement rooms St Cuthbert's Community Hall
Shibdon Road
Blaydon
Gateshead
NE21 5PT","The Blaydon Shed is a fun, relaxed space for all men over 18 to come and hang out, meet new friends, enjoy a cuppa and a chat, learn new skills, share their skills with others and do as much or as little as they please."
Writing / Reading groups,,,,,,,
Blaydon Writers - Prime Time,,,,,,,"Regular writing group, sharing work and exercises set by tutor. Term time, Tuesdays 1.30pm at St Josephs Church Presbytery. Small fee"
Beanstalk,,,,,http://www.beanstalkcharity.org.uk/,,Beanstalk is a registered national charity helping children who find reading a struggle.
Borderline,,,,,http://www.borderlinebooks.org/,"Upper Floor West Wing (bell 7)
5th Avenue Plaza
Queensway North
Team Valley, Gateshead
NE11 0BL","We collect books that are no longer needed by publishers, shops, libraries and individuals and redistribute them free of charge to organisations working with survivors of domestic abuse, homeless people, ex-service men and women, former prisoners, young offenders, children's homes, hostels for young people, refugees and those applying for asylum and vulnerable adults and children.
"
Library Groups,,,,,,,
Friends of Gateshead Central Library,,,,,,"Gateshead Central Library
Prince Consort Road
NE8 4LN","Group of volunteers who support all the extra-curricular activities at Gateshead Central Library, including the Library Garden project and activities which involve local communities and a local school."
Unemployment,,,,,,,
Job Centre,,,,,,High Street,Spoke to Garry - interested in getting unemployed people involved in arts projects - also talked about volunteering with us but would have to see what that would be and if it's a good or bad job centre scheme
Knitting groups,,,,,,,
"Knit, Craft & Natter",,,,,http://eepurl.com/cQ0Ddj,"Lobley Hill Community Centre
47-49 Scafell Gardens
Gateshead
Tyne & Wear
NE11 9LS","If you are keen knitter, good at crafts or just want to come along for a chat and a cuppa then we would love you to join us at Knit, Craft & Natter."
Whickham Knitting Group,,,,,,,Bring your own knitting needles and make some friends over a ball of wool and a cup of tea.
Knit and Knatter Group,,,,,,St Edmunds Chapel - opposite NewBridge,
Places to put leaflets,,,,,,,
The Ark - young children,,,,,http://Crawcrook.org.uk,"The Ark
Main Road
Ryton
Tyne and Wear
NE40 3UG","Come and join us at the Ark today! We are a church and community centre, offering a large play frame for children up to 12 years of age. Delicious food and drinks are available at our cafe and a toddler play corner and sensory room is available for children under 3 years and with special needs."
ARTvewnturers (young children),,,,,http://www.artventurers.co.uk,"Lobley Hill Community Centre
47-49 Scafell Gardens
Gateshead
Tyne & Wear
NE11 9LS","We run colourful, creative (often messy!) art, craft and creative play sessions for babies, toddlers and children during the week in different areas of Gateshead as well as holiday classes and workshops, fantastic creative birthday parties, after school clubs and other events for children of all ages!"
St Chads Church,,,,,,,
Schools,,,,,,,
Emmanuel College,,,,,,,
Kingsmeadow,,,,,,,
Gateshead College,,,,,,,
Joseph Swan,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Blaydon Center,,,,,,"Blaydon Resource Centre
Shibdon Road
Blaydon
Tyne and Wear
NE21 5AE",Provides day care for adults with physical disabilities and mental health problems over 18 years and elderly people with mental ill-health . Provides practical and emotional support and aims to promote social inclusion and independence.
Carers affected by substance abue (CASA,,,,,,"Jackson House
Jackson Street
Gateshead
NE8 1ED",A support group for people caring for anyone abusing drugs or alcoholCASA is a Gateshead based registered charity providing support to carers as opposed to users. 
Carers Trust,,,,,http://www.carerstrusttw.org.uk,"Carers Trust Tyne & Wear
The Old School
Smailes Lane
Highfield
Tyne & Wear
NE39 2DB","We are an independent local charity. Our purpose is to improve the lives of people living in Gateshead who care for someone who has a chronic illness, disability or addiction."
Changing Lives,,,,,http://changing-lives.org.uk,"Textile House
Dukesway
Team Valley
Gateshead
Tyne & Wear
NE11 0LF","Changing Lives is a registered charity that provides specialist support services to thousands of vulnerable people and their families throughout England. 
"
Children in Hope ,,,,,,,"Aims/Objectives:  Health education awareness, relief of financial hardship, relief of unemployment locally and in developing countries.  Also supporting disabled children in India. "
Children in North East ,,,,,http://www.children-ne.org,"Rye Hill Centre
Newcastle upon Tyne
NE4 6HL","Children North East is the oldest, independent children's charity in the North East of England. Our aim is to promote the rights of children and young people and counter the effects of inequality on them, their families and communities.
"
The Comfrey Project,,,,,http://www.thecomfreyproject.org.uk/,"Windmill Hills Centre
Chester Place
GATESHEAD
Tyne and Wear
NE8 1QB","Aims/Objectives:  To promote health and well-being amongst asylum seekers and refugees through group based horticultural activities on allotments.  Provide space for project users to relax, feel respected and listened to.  Year round activities andemotional support. "
Crawcrook and Greenside Enironment Group ,,,,,,,"Crawcrook & Greenside Environment Group aims to engage local people, schools and other organisations, in caring for and enhancing the appearance of our local environment; developing greater community involvement in the process. "
The Cyrenians,,,,,http://www.thecyrenians.org,"Central Office Architectural House
Plummer Street
Newcastle upon Tyne
NE4 7AB",The Cyrenians is a regional charity founded in 1970 providing support to homeless and socially excluded people throughout the North East.  
CAMHS,,,,,,"Grassbanks Sector Base
Grassbanks
GATESHEAD
Tyne and Wear
NE10 8DX","The Emotional Wellbeing Team - Gateshead CAMHS is made up of practitioners in Gateshead who provide services aimed at improving the mental health and emotional wellbeing of children, young people and their families.
"
Friends Action NE,,,,,http://www.friendsaction.co.uk,"C/o Ouseburn Farm
Ouseburn Road
NE1 2PA","Friends Action North East (FANE) works across Gateshead, North Tyneside and Newcastle to support adults with learning disabilities in meeting new people and forging lasting friendships.
"
Voice Counts,,,,,http://www.yvc.org.uk,"Your Voice Counts
The Old Bank
Swinburne Street
Gateshead
NE8 1AX","Your Voice Counts’ Travel Buddy project is a service that supports people with learning disabilities in Gateshead to learn to travel safely and independently.
"
Women's institute,,,,,,"St Aidans Parish Centre
New Herrington
Houghton Le Spring
DH4 4LR","Offers opportunities for all women to enjoy friendship, to learn, to widen their horizons and together to influence local, national, and international affairs. Speakers on diverse subjects, social activities and craft groups etc.
"
Wrekenton Coop Women's Guild ,,,,,,,"Aims/Objectives:  Over 60's club, educational visits, speakers on local history & health issues, arts & crafts, days out, fundraising etc."
Young Womens Outreach Project,,,,,http://www.gywop.org,"11-12 Gladstone Terrace
Gateshead
Tyne and Wear
NE8 4DY","Gateshead Young Womens Outreach Project has been running for 21 years. We work with young women and young mothers in Gateshead aged 11-19yrs. We support, guide young women through crisis in their lives."
WinG (Wayout in Gateshead),,,,,http://www.wing.org.uk,"WinG (Wayout in Gateshead)
c/o Cedars College
13 Walker Terrace
Gateshead
Tyne and Wear
NE8 1EB","Outdoor Activities for youth and community groups within Gateshead and the surrounding area.  Providing a range of educational programmes that use a variety of outdoor activities.
"
Walking with the Wounded,,,,,https://walkingwiththewounded.org.uk/Home/Index,"Walking with the Wounded North East
11 Gladstone Terrace
Gateashead
Gateshead
Tyne and Wear
NE11 0ZF",Walking with the Wounded will create a Veterans Hub in Gateshead - 11 Gladstone Terrace at the end of 2018 to support North East Vulnerable veterans.
"Veterans Mental Health Transition, Intervention and Liaison Servive",,,,,http://www.ntw.nhs.uk/sd.php?l=2&d…,"3 Walker Terrace
Gateshead
NE8 1EB","NHS England has launched a brand new mental health service, known officially as the NHS transition, intervention and liaison (TIL) veterans’ mental health service. It has been specially tailored to support and treat ex-armed forces veterans and service personnel who are approaching discharge and provides a range of treatment and support. "
Victim Support,,,,,http://www.victimsupport.org.uk/,"Swinburne House
Swinburne Street
  Gateshead
NE8 1AX","We are the national charity giving free and confidential help to victims of crime, witnesses, their family, friends and anyone else affected across England and Wales."
Mind,,,,,http://www.tynesidemind.org.uk/,"Wellbeing Centre
Dunsmuir Grove
Gateshead
NE8 4QL","Tyneside and Northumberland Mind is a mental health charity operating across Tyneside and Northumberland. We provide a programme of Wellbeing Projects and Primary Care Counselling Services based on the principles of wellbeing, recovery, prevention and resilience.
"
Tynesie Women's Health ,,,,,http://www.tynesidewomenshealth.org.uk/,"Tyneside Women's Health
30 Half Moon Lane
Gateshead
NE8 2AN",We offer tailored mental health and emotional support for women.
Unfolding theatre,,,,,http://www.unfoldingtheatre.co.uk/,"The Shed Creative Studios
348-354 High Street South
Gateshead
NE8 1EN","e make theatre with a wild sense of humour, strength of character and a delight in bringing people together"
Citizens Advice Gateshead,,,,,http://www.gatesheadcab.org.uk,"Citizens Advice Gateshead
The Davidson Building
Swan Street
Gateshead
NE8 1BG","Established in 1957, Citizens Advice Gateshead provides social welfare law advice to a population of over 200,000 people.

We provide free, independent, confidential and impartial advice to everyone on their rights and responsibilities. We value diversity, promote equality and challenge discrimination. "
Contact a Family NE,,,,,http://www.cafamily.org.uk/northeast,"The Dene Centre
Castle Farm Road
Newcastle upon Tyne
NE3 1PH",Contact a Family supports parent/carers who have children with any disability or additional need aged 0 to 19
Contact the Elderly,,,,,http://www.contact-the-elderly.org.uk/,"Contact the Elderly
P.O Box 654
Newcastle upon Tyne
Tyne and Wear
NE5 9BU",The social gatherings bring individuals together and develop fulfilling friendships and support networks – and thereby help to reduce loneliness and isolation. 
Daft as a Brush Cancer Patient Care,,,,,http://www.daftasabrush.org.uk,"Daft as a Brush Cancer Patient Care
Daft as a Brush House
Great North Road
Newcastle Upon Tyne
Tyne and Wear
NE3 2DR","We make over 6000 patient journeys a year. We receive no state aid and rely on the help and support of foundations , companies and, of course, the North East public."
DanceFuse,,,,,http://www.dancefuse.co.uk,"DanceFuse
Glynwood Primary School
Glynwood Gardens
Gateshead
Tyne and Wear
NE9 5SY","DanceFuse are based in Low Fell, Gateshead. We offer dance classes for girls and boys from age 3 up to teens and young adults and we pride ourselves on our high teaching standards, ensuring that classes are delivered in a safe yet fun environment."
Dementia Café,,,,,,"Alzheimer's Society
St Chad’s Community Project
21 Liddell Terrace
Gateshead
Tyne and Wear
NE8 1YN","Dementia Cafe's are places where people with dementia, their families, friends or anyone with concerns or an interest in dementia can come along. "
Dementia Care,,,,,,"The Bradbury Centre
Darrell Street
Newcastle upon Tyne
NE13 7DS",To enable people with dementia and other health related problems to remain in their communities and offer support to their carers.  
Diabetes UK,,,,,,"Queen Elizabeth Hospital
Queen Elizabeth Avenue
Gateshead
Tyne & Wear
NE9 6SX","Perhaps one of the most important things is raising awareness and education about Diabetes. A lot of our meetings have guest speakers. Topics are far and wide from specific aspects of Diabetes management delivered by medical experts through to sensible eating delivered by nutritionists.

"
Digital Voice for Communities C.I.C,,,,,http://www.digitalvoice.org.uk,"19 Connolly Terrace
Gateshead
NE17 7TR","Digital Voice is a social enterprise, a not-for-profit organisation which uses multimedia experiences to provide a voice and an opportunity for personal development for community groups - particularly those who face disadvantage."
Disability North ,,,,,http://www.disabilitynorth.org.uk ,"The Dene Centre
Castles Farm Road
Newcastle upon Tyne
NE3 1PH","Disability North is a free Independent Living Service which promotes social inclusion, independence and choice for disabled and older people in the North East of England and Cumbria. "
Downs Syndrome NE,,,,,http://www.dsne.org.uk,"PO Box 185
Newcastle upon Tyne
NE12 7WP","Support for families and children with Downs syndrome. Fund raising, information and publicity about Downs' Syndrome."
Emmaus ,,,,,http://emmaus-northeast.org.uk/,"639 Durham Road
Gateshead
NE9 5HA","Aims/Objectives:  Working to raise funds to provide a community in Gateshead that will provide a home, work and companionship for up to 25 homeless people.  Raise awareness of the needs of homeless people. "
Emotional Wellbeing Team (CAMHS),,,,,http://www.stft.nhs.uk/service/emotional-wellbeing-team-gateshead-child-adolescent-mental-health-service-camhs,"Grassbanks Sector Base
Grassbanks
GATESHEAD
Tyne and Wear
NE10 8DX","The Emotional Wellbeing Team - Gateshead CAMHS is made up of practitioners in Gateshead who provide services aimed at improving the mental health and emotional wellbeing of children, young people and their families.
"
FACT: Fighting All Cancers Together,,,,,http://www.fact-cancersupport.co.uk/,"Clasper Way
Swalwell
Newcastle upon Tyne
NE16 3BE","FACT offer a range of services to benefit cancer patients and support their family, friends and carers. No referral is needed and you do not need to be the patient to benefit from our services. 
"
First Light,,,,,,"Change, Grow, Live
Gateshead Evolve
47 Jackson Street
Gateshead
Tyne and Wear
NE8 1EE","We are a relatively new group to the Gateshead area. We offer veterans of any age, gender, cap badge, and length of service a safe and informal place to meet, socialize and discuss any problems that we might have.
"
Friends of Saltwell Park,,,,,http://www.friendsofsaltwellpark.co.uk/,"Friends of Saltwell Park
Saltwell Park
Low Fell
Gateshead
NE9 5AX",We look to promote and protect the well being and enjoyment of the Park for the benefit of the local community.
Gateshead Adoption Service,,,,,http://www.gateshead.gov.uk/adoption,"Gateshead Council Adoption Service
Regent Street
Civic Centre
Gateshead
Tyne & Wear
NE8 1HH",
Gateshead Armed Forces Community Support,,,,,,"Civic Centre
Regent Street
Gateshead",
Evolve,,,,,http://www.cgl.org.uk,"Gateshead Evolve
47 Jackson Street
Gateshead
Tyne & Wear
NE8 1EE","Gateshead Evolve is a single, integrated drug and alcohol recovery service for all adults in Gateshead.
Recovery starts the moment at referral"
Gateshead Mental Health User Voice,,,,,,"Address: 
Room 206
Aidan House
Gateshead
NE8 3HU","We are a service user led group that enables members to have a voice and be heard, to work together and share information on Mental Health services locally and nationally."
Gateshead People,,,,,http://www.gatesheadpeople.btck.co.uk/,"Swinburne House
Swinburne Street
Gateshead
NE8 1AX",Gateshead People is a self advocacy group for people with learning disabilities in Gateshead. 
Happy to Help,,,,,http://h2h2000.wix.com/happy-to-help,"Holy Rosary Parish House
Northumberland Street
Gateshead
NE8 2PQ",Happy to Help provides traditional Home Help Services to the elderly and disabled residents of the Gateshead borough.  
Headway,,,,,http://www.headwaytyneside.com,"c/o Irwin Mitchell
Wellbar Central
36 Gallowgate
Newcastle
Tyne & Wear
NE1 4TD","Headway Tyneside provides support and information to people living with brain injury, their families, friends and carers in the Newcastle, Gateshead, North and South Tyneside areas. "
Helix Arts,,,,,http://www.helixarts.com,"Broadacre House, 1st Floor
Market Street
Newcastle upon Tyne
NE1 6HQ","We work with artists, in partnership with other organisations, to create opportunities for people to participate in ambitious arts activity. We work across a range of art forms including visual arts, film-making, creative writing, graphic design, animation, street dance, music and DJ-ing as well as photography, drama and textiles. We work with people of all abilities, of all ages.
"
